arm	status	exit_status	timed_out	binary_sha256	model_sha256	device_name	backend	prompt	seed	width	height	steps	sampler	cfg_scale	wall_load_s	text_encoder_s	diffusion_s	vae_s	total_generate_s	residual_encode_overhead_s	shell_wall_s	rss_peak_kib	pss_peak_kib	mem_available_min_kib	swap_free_delta_kib	vram_used_bytes	gtt_used_bytes	mclk_modal_mhz	temp_millidegrees_max	ring_resets	gpu_faults	dmesg_state	png_path	png_sha256	taesd_sha256
cold	completed	0	0	4eb6d155c8b1e077de5613a7282410d78c2fc984e9c3aedf9287c0aa788817c8	bf0c567f5214a400f9f1b3f562d1b01f3266d7824e403977a9b900175529b7cc	Vulkan0	te=Vulkan0,vae=Vulkan0,diffusion=Vulkan0	a red apple on a white table, product photography	42	512	512	1	euler	1.0	unavailable	1.92	4.05	3.47	9.46	0.020	12.027	487308	449569	6382132	6072	2056257536	4361551872	933	78000	0	0	captured	$HOME/qwen-image-standalone/sdxs-512-a-resident-4b/cold.png	a9491c82599937f9dd5320be4642366a35689c4794f450bb772fa298646ce143	d7956d561b1efbd861ad9b03fd8f01510f9e87eddc07bdfd20837009433f6ee5
warm	completed	0	0	4eb6d155c8b1e077de5613a7282410d78c2fc984e9c3aedf9287c0aa788817c8	bf0c567f5214a400f9f1b3f562d1b01f3266d7824e403977a9b900175529b7cc	Vulkan0	te=Vulkan0,vae=Vulkan0,diffusion=Vulkan0	a red apple on a white table, product photography	42	512	512	1	euler	1.0	unavailable	1.65	4.05	3.53	9.25	0.020	11.034	457000	419261	6932780	2380	2055454720	4361551872	933	80000	0	0	captured	$HOME/qwen-image-standalone/sdxs-512-a-resident-4b/warm.png	a9491c82599937f9dd5320be4642366a35689c4794f450bb772fa298646ce143	d7956d561b1efbd861ad9b03fd8f01510f9e87eddc07bdfd20837009433f6ee5
