graph_ordinal	arm	cycle	phase	topology_digest	n_tokens	n_outputs	n_kv	n_rs	action	executable	reset	change_reason	change_categories	change_node	change_op	change_name	host_us	device_ms
0	-	-1	-	7565fec99ff6ebb7	2	1	256	-1	direct	none	0	first_compute	-	-1	-	-	48546	117.0514
1	fixed	0	T0	da7570afdbb81394	252	0	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	34081	144.5119
2	fixed	0	T0	802ba1f19f5ea689	4	1	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	16456	78.9074
3	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	10191	71.7919
4	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	capture	update	0	none	-	-1	-	-	3729	11.2502
5	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	519	3.7618
6	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	490	3.7584
7	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	459	3.8116
8	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	459	3.8038
9	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	457	3.8070
10	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	461	3.7875
11	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	456	3.8103
12	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	458	3.7871
13	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	456	3.8031
14	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	459	3.7905
15	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	462	3.8043
16	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	457	3.7951
17	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	460	3.7929
18	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	456	3.7860
19	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	458	3.7951
20	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	455	3.8045
21	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	463	3.7776
22	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	461	3.8027
23	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	463	3.7986
24	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	460	3.7958
25	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	456	3.7820
26	fixed	0	T0	0dfa7fc3533697c4	1	1	512	-1	replay	none	0	none	-	-1	-	-	461	3.8175
27	fixed	0	T1	94dc22ce3d23b91b	2	1	512	-1	direct	none	1	structure	shape,data	0	GET_ROWS	model.input_embed	2774	4.8076
28	fixed	0	T1	d8f873be867a8271	251	0	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	3045	17.1457
29	fixed	0	T1	79cc5f245f480542	2	1	512	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	2453	4.6848
30	fixed	0	T1	bcd06391008a2d68	3	1	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	2514	4.6652
31	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	2503	4.6780
32	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	capture	reinstantiate	0	none	-	-1	-	-	2986	6.6376
33	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	464	4.1000
34	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	460	4.1323
35	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	461	4.0895
36	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	461	4.0966
37	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	461	4.0292
38	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	462	4.0263
39	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	460	4.0347
40	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	458	4.0148
41	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	459	4.0030
42	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	458	4.0344
43	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	458	4.0273
44	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	457	4.0210
45	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	458	4.0370
46	fixed	0	T2	d702fd6fe588b6cb	2	2	512	-1	replay	none	0	none	-	-1	-	-	456	4.0112
