topology_digest	cycles	phases	n_tokens	n_outputs	direct	capture	replay	replay_median_ms	direct_median_ms
0fdbf3977c990123	5	T0,T1,T3	1	1	15	10	454	3.7329	4.2289
0dfa7fc3533697c4	5	T0,T3	1	1	10	10	450	3.7308	4.5267
d702fd6fe588b6cb	10	T2	2	2	10	10	290	4.0253	5.3060
802ba1f19f5ea689	10	T0,T1	4	1	10	0	0	-	4.6040
94dc22ce3d23b91b	5	T1	2	1	5	0	0	-	4.5948
d8f873be867a8271	5	T1	251	0	5	0	0	-	15.9668
79cc5f245f480542	5	T1	2	1	5	0	0	-	4.5691
bcd06391008a2d68	5	T1	3	1	5	0	0	-	4.4968
5e879b663492f411	5	T0	4	1	5	0	0	-	4.6102
da7570afdbb81394	5	T1	252	0	5	0	0	-	16.0441
