graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
472	1788563404225529568	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7315
473	1788563404230046977	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7176
474	1788563404234553166	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.7467
475	1788563404239078220	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7320
476	1788563404243618002	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	475	3.7399
477	1788563404248159537	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	476	3.7267
478	1788563404252688718	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7351
479	1788563404257211368	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7366
480	1788563404261793178	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7348
481	1788563404266313634	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7330
482	1788563404270836043	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7315
483	1788563404275374342	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7424
484	1788563404279903844	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7201
485	1788563404284417898	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7416
486	1788563404288942992	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7349
487	1788563404293472464	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7277
488	1788563404297989413	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7239
489	1788563404302502875	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7315
490	1788563404307025104	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7214
491	1788563404311534498	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.7209
492	1788563404316034055	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7530
493	1788563404320572023	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.7238
494	1788563404325086577	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7331
495	1788563404329629635	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7278
496	1788563404334151192	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7475
497	1788563404338694370	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7382
498	1788563404343217230	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	477	3.7188
499	1788563404347734760	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7394
500	1788563404352261367	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7395
501	1788563404356788996	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7386
502	1788563404361314020	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7208
503	1788563404365821481	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	463	3.7500
504	1788563404370353097	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	465	3.7198
505	1788563404374863514	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	474	3.7314
506	1788563404379389249	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	465	3.7251
507	1788563404383903232	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7210
508	1788563404388415583	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.7260
509	1788563404392949704	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	477	3.7221
510	1788563404397471522	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7304
511	1788563404401996035	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7283
512	1788563404406520638	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7309
513	1788563404411032727	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7081
514	1788563404415529659	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.7438
515	1788563404420052749	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7278
516	1788563404424566953	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	475	3.7275
517	1788563404429085314	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7292
518	1788563404433602774	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.7358
519	1788563404438120254	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.7357
520	1788563404442640649	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.7247
521	1788563404447148170	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7537
522	1788563404958780520	0x7f4033e2f3b0	1	802ba1f19f5ea689	34c052eb6c71073b	1459	4	1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	1	0	direct	none	2549	4.6407
523	1788563404964782767	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2164	4.1911
524	1788563404969775559	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	update	1666	4.9217
525	1788563404975508581	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	488	3.7323
526	1788563404980053482	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	478	3.7141
527	1788563404984560512	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7431
528	1788563404989089584	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	476	3.7280
529	1788563404993610099	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7348
530	1788563404998134873	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	474	3.7257
531	1788563405002656811	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7293
532	1788563405007172327	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	475	3.7326
533	1788563405011698573	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7198
534	1788563405016204612	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	474	3.7314
535	1788563405020730728	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7271
536	1788563405025239952	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	478	3.7430
537	1788563405029776147	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7158
538	1788563405034281033	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7355
539	1788563405038803512	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7283
540	1788563405043317415	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7183
541	1788563405047829024	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	3.7229
542	1788563405052338449	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7281
543	1788563405056860367	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7252
544	1788563405061371435	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7243
545	1788563405065880048	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7544
546	1788563405070429077	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.8715
547	1788563405075731069	0x7f4033e2f3b0	1	94dc22ce3d23b91b	20b747b29faadf49	1459	2	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	1	0	direct	none	2491	4.6410
548	1788563405080939055	0x7f4033e2f3b0	1	d8f873be867a8271	a390c74fc721b854	1459	251	0	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2963	15.9790
549	1788563405101151506	0x7f4033e2f3b0	1	79cc5f245f480542	20f1f5a0effcc87d	1459	2	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2505	4.5770
550	1788563405106302305	0x7f4033e2f3b0	1	bcd06391008a2d68	572116468cd1b73d	1459	3	1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2421	4.4968
