token	span_ns	device_busy_ns	device_idle_ns	idle_between_device_rows_ns	idle_outside_device_work_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	27156582	26158545	998037	384614	613423	27073728	26441574	82854
1	27456226	24114813	3341413	2696381	645032	27378869	26716940	77357
2	15953105	13030470	2922635	2275227	647408	15873896	15195568	79209
3	5626320	4753779	872541	168577	703964	5581666	4949726	44654
4	5886269	5177560	708709	184384	524325	5840543	5292159	45726
5	6181786	5103638	1078148	554694	523454	6127870	5577384	53916
6	5649243	4542288	1106955	353923	753032	5599417	4813778	49826
7	5428437	4554031	874406	343652	530754	5378152	4823356	50285
8	4794853	4094955	699898	162146	537752	4745959	4182809	48894
9	4997034	3987978	1009056	464964	544092	4951847	4382145	45187
10	5218532	4353326	865206	343203	522003	5172466	4625046	46066
11	4987496	4312556	674940	146083	528857	4940692	4386576	46804
12	4738337	4003626	734711	138113	596598	4697059	4141803	41278
13	4814761	3903401	911360	390724	520636	4770237	4226633	44524
14	5097212	4244490	852722	325766	526956	5047008	4495299	50204
15	4624843	3963593	661250	129826	531424	4584146	4033068	40697
16	4888630	4205545	683085	146021	537064	4841130	4279581	47500
17	5007765	4167500	840265	308323	531942	4964197	4411193	43568
18	4577674	3912839	664835	125091	539744	4538350	3979587	39324
19	4793831	4126472	667359	139941	527418	4744880	4192359	48951
20	4930028	4129157	800871	273642	527229	4885084	4334576	44944
21	4593534	3933736	659798	131427	528371	4553242	4005248	40292
22	4827966	4067240	760726	181861	578865	4790595	4250015	37371
23	4864073	4148295	715778	195495	520283	4819277	4276206	44796
24	5067698	4195850	871848	343334	528514	5029755	4480820	37943
25	4514244	3878406	635838	121636	514202	4478141	3944925	36103
26	4734680	3849958	884722	362438	522284	4699495	4158144	35185
27	5015319	4189960	825359	306695	518664	4977379	4439473	37940
28	4562996	3920296	642700	122915	519785	4527940	3989564	35056
29	4811755	4173065	638690	122629	516061	4776918	4242501	34837
30	5004829	4176393	828436	311302	517134	4959184	4419636	45645
31	4556895	3908900	647995	126182	521813	4517928	3975658	38967
32	4785285	4133096	652189	126628	525561	4744528	4198269	40757
33	4941730	4233675	708055	188163	519892	4900650	4359251	41080
34	4568337	3925125	643212	127269	515943	4531866	3996729	36471
35	4694694	3856392	838302	262756	575546	4660500	4123007	34194
36	4878471	4167017	711454	193541	517913	4843454	4306213	35017
37	4548229	3906853	641376	122374	519002	4512080	3974790	36149
38	4767281	4053030	714251	126310	587941	4730814	4180577	36467
39	4864364	4227721	636643	119397	517246	4829348	4293507	35016
40	4806826	4168331	638495	122050	516445	4771221	4234509	35605
41	4574819	3874244	700575	125414	575161	4539442	4001640	35377
42	4714211	4067333	646878	119143	527735	4676276	4130169	37935
43	5041097	4097155	943942	415276	528666	4996441	4445676	44656
44	4439103	3801312	637791	116169	521622	4404455	3863065	34648
45	4742385	4083752	658633	140293	518340	4697206	4153823	45179
46	4838395	4063242	775153	252611	522542	4794291	4249074	44104
47	4454993	3810850	644143	119591	524552	4415276	3872495	39717
48	4835630	4122274	713356	180299	533057	4794506	4250471	41124
49	4907646	4091934	815712	295376	520336	4862690	4319427	44956
50	4489367	3847521	641846	121737	520109	4453237	3913952	36130
51	4732416	4085926	646490	122471	524019	4693649	4149666	38767
52	4821183	3827549	993634	474032	519602	4780205	4239857	40978
53	4468588	3833281	635307	117864	517443	4432572	3896281	36016
54	4760499	4091303	669196	136389	532807	4716407	4161622	44092
55	4847412	3983551	863861	344942	518919	4808038	4268902	39374
56	4486603	3852002	634601	115911	518690	4451737	3914744	34866
57	4719411	4076774	642637	122118	520519	4683744	4144779	35667
58	4751632	3980037	771595	252648	518947	4708488	4169532	43144
59	4486011	3839938	646073	121575	524498	4449934	3906390	36077
