token	span_ns	device_busy_ns	device_idle_ns	idle_between_device_rows_ns	idle_outside_device_work_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	4355195	4127436	227759	88833	138926	4322644	4163684	32551
1	4457027	4228077	228950	90817	138133	4425537	4268102	31490
2	4034792	3811240	223552	87009	136543	4003705	3848181	31087
3	4317514	4094155	223359	83937	139422	4284563	4126335	32951
4	4091819	3869066	222753	84608	138145	4058516	3900919	33303
5	4332743	4052043	280700	83233	197467	4301676	4142424	31067
6	4424276	4128011	296265	160290	135975	4394812	4240069	29464
7	4256770	4028553	228217	91586	136631	4224566	4069264	32204
8	4377407	4136811	240596	99265	141331	4337362	4173012	40045
9	4461014	4156651	304363	162466	141897	4419887	4253611	41127
10	4044911	3818888	226023	85153	140870	4011338	3849563	33573
11	4385342	4120140	265202	124545	140657	4336303	4162756	49039
12	4115203	3868072	247131	89185	157946	4081550	3901421	33653
13	4352691	4131627	221064	84929	136135	4322211	4167391	30480
14	4425227	4127563	297664	161154	136510	4394795	4239874	30432
15	4048888	3823336	225552	87297	138255	4015374	3857706	33514
16	4340648	4036202	304446	166242	138204	4309363	4151864	31285
17	4111767	3891401	220366	82529	137837	4081491	3925607	30276
18	4351488	4048266	303222	167074	136148	4320656	4165981	30832
19	4521318	4100907	420411	274627	145784	4483285	4314978	38033
20	4103952	3877705	226247	87105	139142	4072050	3913553	31902
21	4405581	4122538	283043	144483	138560	4371720	4216607	33861
22	4459321	4170988	288333	151106	137227	4426851	4268533	32470
23	3978456	3762056	216400	79969	136431	3948460	3793609	29996
24	4302255	4079947	222308	86369	135939	4270998	4116458	31257
25	4012951	3792744	220207	83489	136718	3982562	3827409	30389
26	4191567	3955433	236134	97089	139045	4151503	3991291	40064
27	4346739	4048362	298377	152290	146087	4303498	4133226	43241
28	3988735	3762407	226328	84129	142199	3953780	3791584	34955
29	4311052	4086762	224290	87778	136512	4279010	4123368	32042
30	4017138	3794728	222410	86049	136361	3983944	3828582	33194
31	4273361	4050891	222470	85601	136869	4240532	4084347	32829
32	4353032	4126092	226940	87169	139771	4321725	4162564	31307
33	3965771	3741607	224164	81985	142179	3933957	3773106	31814
34	4246431	3959754	286677	149729	136948	4213556	4057271	32875
35	4025143	3802088	223055	86241	136814	3993953	3838610	31190
36	4189884	3972139	217745	81376	136369	4157862	4003963	32022
37	4377577	4087756	289821	153089	136732	4336663	4177483	40914
38	3999766	3759913	239853	95872	143981	3960886	3794640	38880
39	4337011	4090474	246537	104674	141863	4293269	4125863	43742
40	4036104	3793096	243008	100289	142719	3994489	3824599	41615
41	4263122	3971753	291369	150914	140455	4228934	4065658	34188
42	4248174	3961514	286660	148993	137667	4213922	4055002	34252
43	3997471	3770056	227415	85441	141974	3965590	3803465	31881
44	4337782	4107627	230155	91041	139114	4303870	4143439	33912
45	4046534	3800936	245598	107265	138333	4004518	3840980	42016
46	4259315	3959433	299882	158498	141384	4217304	4049579	42011
47	4351999	4058571	293428	151233	142195	4311976	4145143	40023
48	3990678	3759687	230991	86561	144430	3958166	3793145	32512
49	4434966	4037610	397356	257347	140009	4398118	4236031	36848
50	4036144	3798376	237768	97761	140007	3996134	3832848	40010
51	4273021	3985706	287315	91361	195954	4236884	4072824	36137
52	4351087	4052267	298820	150497	148323	4314739	4146892	36348
53	4017920	3772199	245721	105602	140119	3979226	3818474	38694
54	4312505	4067756	244749	104288	140461	4271809	4103743	40696
55	4225260	3997194	228066	88098	139968	4191676	4030724	33584
56	4240660	4019915	220745	84128	136617	4209664	4051315	30996
57	4289872	3999978	289894	152449	137445	4252511	4093792	37361
58	4026166	3801832	224334	84705	139629	3993138	3834134	33028
59	4184543	3963531	221012	85312	135700	4154205	3999615	30338
