kind	placement	backend	dst_buffer	bytes	n_tokens	offset	digest
clip	host	CUDA0	-	360448	-	-	3b24a6bf1624d7a6
graph	host	CUDA_Host	-	360448	88	0	3b24a6bf1624d7a6
clip	host	CUDA0	-	315392	-	-	5af1dc077d1c80ab
graph	host	CUDA_Host	-	315392	77	0	5af1dc077d1c80ab
clip	host	CUDA0	-	315392	-	-	078e451832126660
graph	host	CUDA_Host	-	315392	77	0	078e451832126660
clip	host	CUDA0	-	360448	-	-	3b24a6bf1624d7a6
graph	host	CUDA_Host	-	360448	88	0	3b24a6bf1624d7a6
clip	host	CUDA0	-	315392	-	-	5af1dc077d1c80ab
graph	host	CUDA_Host	-	315392	77	0	5af1dc077d1c80ab
clip	host	CUDA0	-	315392	-	-	078e451832126660
graph	host	CUDA_Host	-	315392	77	0	078e451832126660
