start_ns	end_ns	kind	bytes	src_kind	dst_kind	stream	api	kernel_before	kernel_after	embedding_sized	row_multiple
45150038	45163798	Host-to-Device	262144	Pinned	Device	13	cudaMemcpyAsync_v3020	-	k_get_rows_kq	no	yes
93898047	93942303	Host-to-Device	1081344	Pageable	Device	13	cudaMemcpyAsync_v3020	rms_norm_f32	im2col_kernel	no	yes
126081901	126084013	Device-to-Device	1441792	Device	Device	15	cudaMemcpyAsync_v3020	convert_unary	im2col_kernel	no	yes
126112845	126114893	Device-to-Device	1441792	Device	Device	15	cudaMemcpyAsync_v3020	convert_unary	k_bin_bcast	no	yes
126501872	126503792	Device-to-Device	1441792	Device	Device	15	cudaMemcpyAsync_v3020	cpy_scalar	cpy_scalar	no	yes
136442137	136471193	Device-to-Host	720896	Device	Pageable	13	cudaMemcpyAsync_v3020	k_bin_bcast	rms_norm_f32	yes	yes
137595426	137628546	Host-to-Device	720896	Pinned	Device	13	cudaMemcpyAsync_v3020	k_bin_bcast	rms_norm_f32	yes	yes
137653922	137666242	Host-to-Device	262144	Pinned	Device	13	cudaMemcpyAsync_v3020	k_bin_bcast	rms_norm_f32	no	yes
161306161	161319089	Host-to-Device	262144	Pinned	Device	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170154291	170158963	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170174035	170178227	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170191251	170194835	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170205779	170209523	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170221363	170225171	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
