2835	10251	46	58.70	46	5	2488	12282	0x0000000000000000	3.56
2835	10251	45	58.44	44	4	2488	12282	0x0000000000000000	3.56
2835	10251	45	58.06	45	4	2488	12282	0x0000000000000000	3.56
2835	10251	45	58.55	47	5	2488	12282	0x0000000000000000	3.44
2835	10251	45	58.39	43	4	2488	12282	0x0000000000000000	3.44
2835	10251	45	58.38	45	4	2488	12282	0x0000000000000000	3.44
2835	10251	45	58.45	45	4	2488	12282	0x0000000000000000	3.44
2835	10251	45	58.62	49	5	2488	12282	0x0000000000000000	3.44
2835	10251	45	58.80	45	5	2687	12282	0x0000000000000000	3.40
2835	10251	45	58.28	44	4	2687	12282	0x0000000000000000	3.40
2835	10251	45	58.40	48	5	2702	12282	0x0000000000000000	3.40
2835	10251	45	58.61	45	5	2702	12282	0x0000000000000000	3.40
2835	10251	45	57.66	27	4	2692	12282	0x0000000000000000	3.40
2835	10251	45	57.91	45	4	2691	12282	0x0000000000000000	3.37
2835	10251	44	58.02	46	5	2691	12282	0x0000000000000000	3.37
2835	10251	44	57.91	45	4	2691	12282	0x0000000000000000	3.37
2835	10251	44	57.65	48	5	2687	12282	0x0000000000000000	3.37
2835	10251	44	56.91	47	5	2706	12282	0x0000000000000000	3.58
2835	10251	44	58.15	47	5	2706	12282	0x0000000000000000	3.58
2835	10251	44	57.74	47	5	2696	12282	0x0000000000000000	3.58
2835	10251	44	57.81	46	5	2695	12282	0x0000000000000000	3.58
2835	10251	44	57.81	46	5	2695	12282	0x0000000000000000	3.58
2835	10251	44	58.08	45	4	2691	12282	0x0000000000000000	4.02
2835	10251	44	57.44	46	4	2691	12282	0x0000000000000000	4.02
2835	10251	44	57.32	44	4	2687	12282	0x0000000000000000	4.02
2835	10251	44	57.66	44	4	2687	12282	0x0000000000000000	4.02
2835	10251	44	55.35	0	3	2687	12282	0x0000000000000000	5.30
1335	5001	42	46.23	0	5	2687	12282	0x0000000000000001	5.30
1740	5001	42	30.34	44	9	2687	12282	0x0000000000000001	5.30
2850	10251	43	40.82	46	4	2687	12282	0x0000000000000001	5.30
2850	10251	43	53.07	0	2	2687	12282	0x0000000000000000	5.30
585	5001	42	44.19	0	5	2687	12282	0x0000000000000001	5.83
360	5001	42	26.84	17	9	2696	12282	0x0000000000000001	5.83
345	5001	42	26.74	14	6	2706	12282	0x0000000000000001	5.83
345	810	42	24.58	5	35	2706	12282	0x0000000000000001	5.83
450	810	42	22.58	20	36	2695	12282	0x0000000000000001	5.83
2625	10251	42	27.89	85	51	2695	12282	0x0000000000000001	6.09
2625	10251	42	42.18	9	3	2691	12282	0x0000000000000001	6.09
1095	5001	42	33.61	0	3	2691	12282	0x0000000000000001	6.09
2055	5001	42	30.16	59	10	7505	12282	0x0000000000000001	6.09
2850	10251	44	52.59	51	5	7505	12282	0x0000000000000000	6.24
2850	10251	44	57.57	57	5	7505	12282	0x0000000000000000	6.24
2850	10251	44	57.75	53	5	7505	12282	0x0000000000000000	6.24
2850	10251	44	57.79	51	5	7520	12282	0x0000000000000000	6.24
2850	10251	44	57.37	17	3	7520	12282	0x0000000000000000	6.24
2850	10251	44	57.33	50	5	7510	12282	0x0000000000000000	6.38
2835	10251	51	74.61	45	4	8104	12282	0x0000000000000000	6.38
2835	10251	52	173.18	47	5	7723	12282	0x0000000000000004	6.38
2835	10251	53	191.53	99	98	7719	12282	0x0000000000000000	6.38
2835	10251	53	191.64	99	98	7719	12282	0x0000000000000000	6.38
2835	10251	54	193.17	99	98	7715	12282	0x0000000000000000	6.43
2835	10251	54	193.50	99	97	7715	12282	0x0000000000000000	6.43
2835	10251	54	193.13	99	98	7715	12282	0x0000000000000000	6.43
2835	10251	46	109.11	46	4	2717	12282	0x0000000000000000	6.43
2835	10251	46	58.30	46	4	2717	12282	0x0000000000000000	6.43
