graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
0	1788554041912382741	0x7f42530c63b0	1	7565fec99ff6ebb7	1e124079787f80e0	1459	-1	-1	256	-1	1	1	1	first_compute	-1	-	-	-	0	0	direct	none	72599	72.8474
1	1788554042354245534	0x7f42530c63b0	1	da7570afdbb81394	b11e6ad39340ff34	1459	-1	-1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	26016	36.9551
2	1788554042395685151	0x7f42530c63b0	1	802ba1f19f5ea689	83e51ade51eb3baf	1459	-1	-1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	14363	14.9668
3	1788554042413405711	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	6203	7.1844
4	1788554042421755286	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	update	5189	8.6658
5	1788554042431792321	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	914	3.8592
6	1788554042437123336	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	703	3.9242
7	1788554042442225290	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	660	4.0100
8	1788554042447416072	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	749	4.0291
9	1788554042452672546	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	626	3.8230
10	1788554042457772156	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	648	3.8222
11	1788554042463079687	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	682	3.8774
12	1788554042468119735	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	662	4.1634
13	1788554042473398592	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	669	3.8208
14	1788554042478413402	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	656	4.2626
15	1788554042483868270	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	665	3.8350
16	1788554042489000230	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	664	3.8494
17	1788554042494050157	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	681	3.9283
18	1788554042499144557	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	667	4.0843
19	1788554042504309210	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	651	4.0598
20	1788554042509534255	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	627	3.8078
21	1788554042514629677	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	660	3.8748
22	1788554042519787497	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	671	3.8663
23	1788554042524792729	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	684	3.9381
24	1788554042529895435	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	682	4.0406
25	1788554042535161027	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	582	4.0576
26	1788554042540352550	0x7f42530c63b0	1	0dfa7fc3533697c4	8588085eed2ad04e	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	671	3.8600
27	1788554042546518473	0x7f42530c63b0	1	94dc22ce3d23b91b	0556da47e0cf8acf	1459	-1	-1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	1	0	direct	none	5025	5.5407
28	1788554042552817276	0x7f42530c63b0	1	d8f873be867a8271	349f900b4665a0d0	1459	-1	-1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	5165	18.6308
29	1788554042582576611	0x7f42530c63b0	1	79cc5f245f480542	5f0c85a409d6545f	1459	-1	-1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	4718	5.3337
30	1788554042588930607	0x7f42530c63b0	1	bcd06391008a2d68	b1c517d81836284a	1459	-1	-1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	4742	5.2733
31	1788554042598358438	0x7f42530c63b0	1	d702fd6fe588b6cb	5f0c85a409d6545f	1459	-1	-1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	3932	5.2635
32	1788554042605266024	0x7f42530c63b0	1	d702fd6fe588b6cb	5f0c85a409d6545f	1459	-1	-1	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	reinstantiate	6922	10.8845
