utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-04T20:33:57Z	210	810	40	23.05	41	45	1472	12282	0x0000000000000001	16384	1487	14897	15930080	828	173600	184592	1613660	20.84
2026-09-04T20:33:59Z	210	810	40	23.10	26	33	1500	12282	0x0000000000000001	16384	1689	14695	15956940	828	173600	184836	1614924	20.84
2026-09-04T20:34:00Z	210	810	40	23.48	33	33	1674	12282	0x0000000000000001	16384	1689	14695	15658348	828	173600	187812	1614940	20.84
2026-09-04T20:34:01Z	210	810	40	23.18	18	31	1674	12282	0x0000000000000001	16384	1689	14695	15885720	828	173600	188256	1614992	20.84
2026-09-04T20:34:02Z	240	810	40	23.40	87	50	3030	12282	0x0000000000000001	16384	3045	13339	15487320	828	173600	187456	1615176	20.84
2026-09-04T20:34:03Z	2835	10251	45	84.03	75	65	3044	12282	0x0000000000000000	16384	3059	13325	15117348	828	173600	187492	1615144	20.53
2026-09-04T20:34:04Z	2835	10251	51	110.56	68	58	2988	12282	0x0000000000000000	16384	3002	13382	14840448	828	173600	188036	1614248	20.53
2026-09-04T20:34:05Z	2835	10251	51	113.11	68	58	3119	12282	0x0000000000000000	16384	3097	13287	14636248	828	173600	188620	1614248	20.53
2026-09-04T20:34:06Z	2850	10251	51	110.83	71	63	3003	12282	0x0000000000000000	16384	3018	13366	15591460	828	173600	187392	1614248	20.53
2026-09-04T20:34:07Z	2850	10251	43	127.31	3	3	3126	12282	0x0000000000000000	16384	3147	13237	15566024	828	173600	187212	1614216	20.53
2026-09-04T20:34:08Z	2835	10251	44	128.75	13	12	3178	12282	0x0000000000000000	16384	3193	13191	17105212	828	173600	182560	1614920	20.25
2026-09-04T20:34:09Z	2835	10251	46	113.82	77	68	3191	12282	0x0000000000000000	16384	3206	13178	16951436	828	173600	182432	1614696	20.25
2026-09-04T20:34:10Z	2850	10251	43	81.18	2	2	3081	12282	0x0000000000000000	16384	3096	13288	16959324	828	173600	183328	1614696	20.25
2026-09-04T20:34:11Z	2835	10251	52	78.41	71	50	3067	12282	0x0000000000000000	16384	3082	13302	17225460	828	173600	184124	1614652	20.25
2026-09-04T20:34:12Z	2850	10251	52	118.64	6	6	3068	12282	0x0000000000000000	16384	3083	13301	16923028	828	173600	188032	1614556	21.19
2026-09-04T20:34:13Z	2835	10251	50	138.40	2	2	3025	12282	0x0000000000000000	16384	3040	13344	17268276	828	173600	187736	1614676	21.19
2026-09-04T20:34:14Z	2850	10251	44	120.05	2	2	3020	12282	0x0000000000000000	16384	3035	13349	17446108	828	173600	185568	1614604	21.19
2026-09-04T20:34:15Z	2850	10251	45	128.85	2	3	3020	12282	0x0000000000000000	16384	3035	13349	17315240	828	173600	182704	1614604	21.19
2026-09-04T20:34:17Z	2835	10251	46	123.27	77	65	3020	12282	0x0000000000000000	16384	3035	13349	17134464	828	173600	181956	1614604	21.19
2026-09-04T20:34:18Z	2835	10251	53	112.70	74	63	3020	12282	0x0000000000000000	16384	3035	13349	17244892	828	173600	182840	1614604	20.37
2026-09-04T20:34:19Z	2850	10251	44	94.68	6	3	3020	12282	0x0000000000000000	16384	3035	13349	17150192	828	173600	182720	1614540	20.37
2026-09-04T20:34:20Z	2850	10251	44	53.51	2	2	1676	12282	0x0000000000000000	16384	1691	14693	17144752	828	173600	182508	1614460	20.37
2026-09-04T20:34:21Z	975	5001	42	35.83	5	4	1676	12282	0x0000000000000001	16384	1691	14693	17351784	828	173600	183596	1614412	20.37
2026-09-04T20:34:22Z	660	5001	42	28.19	6	4	1676	12282	0x0000000000000001	16384	1691	14693	17728392	828	173600	183584	1614400	20.37
