graph_ordinal	arm	cycle	phase	topology_digest	n_tokens	n_outputs	n_kv	n_rs	action	executable	reset	change_reason	change_categories	change_node	change_op	change_name	host_us	device_ms
0	-	-1	-	7565fec99ff6ebb7	-1	-1	256	-1	direct	none	0	first_compute	-	-1	-	-	72599	72.8474
1	fixed	0	T0	da7570afdbb81394	-1	-1	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	26016	36.9551
2	fixed	0	T0	802ba1f19f5ea689	-1	-1	256	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	14363	14.9668
3	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	direct	none	0	structure	shape,data	0	GET_ROWS	model.input_embed	6203	7.1844
4	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	capture	update	0	none	-	-1	-	-	5189	8.6658
5	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	914	3.8592
6	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	703	3.9242
7	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	660	4.0100
8	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	749	4.0291
9	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	626	3.8230
10	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	648	3.8222
11	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	682	3.8774
12	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	662	4.1634
13	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	669	3.8208
14	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	656	4.2626
15	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	665	3.8350
16	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	664	3.8494
17	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	681	3.9283
18	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	667	4.0843
19	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	651	4.0598
20	fixed	0	T0	0dfa7fc3533697c4	-1	-1	512	-1	replay	none	0	none	-	-1	-	-	627	3.8078
