topology_digest	cycles	phases	n_tokens	n_outputs	direct	capture	replay	replay_median_ms	direct_median_ms
0fdbf3977c990123	5	T0,T1,T3	-1	-1	15	10	454	3.9807	4.8125
0dfa7fc3533697c4	5	T0,T3	-1	-1	10	10	450	3.9156	6.0875
d702fd6fe588b6cb	10	T2	-1	-1	10	10	290	4.2443	6.8819
802ba1f19f5ea689	10	T0,T1	-1	-1	10	0	0	-	5.0874
94dc22ce3d23b91b	5	T1	-1	-1	5	0	0	-	5.1914
d8f873be867a8271	5	T1	-1	-1	5	0	0	-	16.9547
79cc5f245f480542	5	T1	-1	-1	5	0	0	-	5.1333
bcd06391008a2d68	5	T1	-1	-1	5	0	0	-	4.9840
5e879b663492f411	5	T0	-1	-1	5	0	0	-	5.4099
da7570afdbb81394	5	T1	-1	-1	5	0	0	-	17.1900
