phase	pair	position	arm	closure	base	width	length	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256	content_sha256
warmup	0	0	control	build-appliance-current	128	0	128	128	15.671	128	384.365	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
warmup	0	0	subject	build-appliance-current	128	0	128	128	21.796	128	363.286	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
warmup	0	0	control	build-appliance-current	512	0	512	512	20.79	128	385.564	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
warmup	0	0	subject	build-appliance-current	512	0	512	512	28.106	128	364.89	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
warmup	0	0	control	build-appliance-current	2048	0	2048	2048	75.585	128	386.649	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
warmup	0	0	subject	build-appliance-current	2048	0	2048	2048	82.211	128	365.824	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	1	1	control	build-appliance-current	128	0	128	128	10.241	128	383.962	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	1	2	subject	build-appliance-current	128	0	128	128	17.936	128	362.471	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	1	1	control	build-appliance-current	512	0	512	512	20.492	128	385.012	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	1	2	subject	build-appliance-current	512	0	512	512	27.207	128	363.735	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	1	1	control	build-appliance-current	2048	0	2048	2048	75.347	128	386.579	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	1	2	subject	build-appliance-current	2048	0	2048	2048	81.404	128	365.895	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	2	1	subject	build-appliance-current	128	0	128	128	16.819	128	362.779	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	2	2	control	build-appliance-current	128	0	128	128	10.307	128	384.086	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	2	1	subject	build-appliance-current	512	0	512	512	27.094	128	363.763	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	2	2	control	build-appliance-current	512	0	512	512	20.219	128	385.294	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	2	1	subject	build-appliance-current	2048	0	2048	2048	80.797	128	365.968	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	2	2	control	build-appliance-current	2048	0	2048	2048	75.188	128	386.858	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	3	1	control	build-appliance-current	128	0	128	128	10.07	128	384.398	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	3	2	subject	build-appliance-current	128	0	128	128	16.984	128	361.981	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	3	1	control	build-appliance-current	512	0	512	512	20.642	128	384.401	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	3	2	subject	build-appliance-current	512	0	512	512	26.362	128	363.948	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	3	1	control	build-appliance-current	2048	0	2048	2048	75.301	128	387.206	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	3	2	subject	build-appliance-current	2048	0	2048	2048	82.009	128	366.228	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	4	1	subject	build-appliance-current	128	0	128	128	16.692	128	363.52	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	4	2	control	build-appliance-current	128	0	128	128	11.008	128	383.572	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	4	1	subject	build-appliance-current	512	0	512	512	27.658	128	363.406	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	4	2	control	build-appliance-current	512	0	512	512	20.154	128	385.107	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	4	1	subject	build-appliance-current	2048	0	2048	2048	82.266	128	365.24	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	4	2	control	build-appliance-current	2048	0	2048	2048	75.166	128	387.408	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	5	1	control	build-appliance-current	128	0	128	128	10.04	128	384.23	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	5	2	subject	build-appliance-current	128	0	128	128	17.989	128	363.031	cab02396229b3d2671cf87bc1a3a779e298cb31a766fe387111b1b2f9e92256e	7ca12bf588dd040c49369216caa0c9283f19e733564d5e71590d2b2227a22d3d
paired	5	1	control	build-appliance-current	512	0	512	512	20.491	128	385.129	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	5	2	subject	build-appliance-current	512	0	512	512	26.521	128	363.607	33344fb2e0c09dba946704374ce3364923fd69ff659707c26fac293a462e478a	0eabb0692886fa4987eddde823b5a1d690beccc2200d4c6b7a99f2ee736d48bd
paired	5	1	control	build-appliance-current	2048	0	2048	2048	75.293	128	387.964	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
paired	5	2	subject	build-appliance-current	2048	0	2048	2048	80.74	128	368.101	24f746159cd97bcf4c509f4b5cc87df07ee41b2144d2757f1b29b6205f43aca5	614a09a6af2e6973041d7721ed7679db2ea17d51d68918452143b511c13ef586
