pass	nice_observed	model	streamed_bytes	decode_tok_s	prefill_tok_s	achieved_gb_s	mclk_modal	temp_c_max	load_mean	load_max
forward	19	Qwen3.8-4B-Q4_K_M	2697836544	3.41	22.56	9.20	1067	88.0	3.97	4.58
forward	19	Qwen3.8-2B-Q4_K_M	1263435008	8.46	57.09	10.69	1067	89.0	4.17	4.72
forward	19	Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	980097536	8.52	63.13	8.35	1067	87.0	4.12	4.38
forward	19	Qwen3.5-0.8B-Q8_0	800881920	15.24	145.69	12.21	1067	85.0	3.98	4.12
forward	19	Qwen_Qwen3.5-0.8B-Q4_K_M	546905344	15.21	134.49	8.32	1067	85.0	4.33	4.52
forward	19	Qwen3-Zero-Coder-Reasoning-0.8B-NEO3-EX-D_AU-Q4_K_M-imat	477341696	15.75	102.90	7.52	1067	84.0	4.29	4.35
reverse	19	Qwen3-Zero-Coder-Reasoning-0.8B-NEO3-EX-D_AU-Q4_K_M-imat	477341696	16.17	101.45	7.72	1067	84.0	4.15	4.25
reverse	19	Qwen_Qwen3.5-0.8B-Q4_K_M	546905344	15.12	135.32	8.27	1067	85.0	4.42	4.67
reverse	19	Qwen3.5-0.8B-Q8_0	800881920	15.38	146.75	12.32	1067	85.0	4.88	5.45
reverse	19	Qwen2-VL-2B-Instruct-Platinum-Q4_K_M	980097536	8.49	63.04	8.32	1067	85.0	4.73	5.15
reverse	19	Qwen3.8-2B-Q4_K_M	1263435008	7.72	51.47	9.75	1067	85.0	4.02	4.29
reverse	19	Qwen3.8-4B-Q4_K_M	2697836544	2.95	19.53	7.96	1067	86.0	4.30	5.29
