1067	400	85000	4.29	353579008	677777408
1067	400	83000	4.29	1619419136	1099849728
1067	400	82000	4.29	1619419136	1099849728
1067	1100	80000	4.29	1646047232	1626873856
1067	1100	79000	4.29	1646100480	1629233152
1067	1050	77000	4.19	1646104576	1631100928
1067	1083	76000	4.19	1646108672	1633263616
1067	985	75000	4.19	1646112768	1635524608
1067	1050	74000	4.19	1646170112	1637392384
1067	985	74000	4.19	1646174208	1639555072
1067	1000	74000	4.09	1646178304	1641619456
1067	775	74000	4.09	1646178304	1641816064
1067	775	73000	4.09	1646178304	1641816064
1067	1050	74000	4.09	1646178304	1641816064
1067	1000	74000	4.09	1646178304	1641816064
1067	1000	74000	4.08	1646178304	1641816064
1067	1033	74000	4.08	1646178304	1641816064
1067	1000	74000	4.08	1646178304	1641816064
1067	985	74000	4.08	1646178304	1641816064
1067	762	73000	4.08	1646178304	1641816064
1067	1016	74000	4.16	1646178304	1641816064
1067	775	73000	4.16	1646178304	1641816064
1067	871	73000	4.16	1646178304	1641816064
1067	1000	74000	4.16	1646178304	1641816064
1067	1050	74000	4.16	1646178304	1641816064
1067	1000	74000	4.06	1646178304	1641816064
1067	1033	74000	4.06	1646178304	1641816064
1067	1016	74000	4.06	1646178304	1641816064
1067	971	74000	4.06	1646178304	1641816064
1067	1033	74000	3.98	1646178304	1641816064
1067	812	74000	3.98	1646178304	1641816064
1067	775	73000	3.98	1646178304	1641816064
1067	942	73000	3.98	1646178304	1641816064
1067	1000	74000	3.98	1646178304	1641816064
1067	985	74000	3.90	1646178304	1641816064
1067	1033	74000	3.90	1646178304	1641816064
1067	1016	74000	3.90	1646178304	1641816064
1067	1016	74000	3.90	1646178304	1641816064
1067	1033	74000	3.90	1646178304	1641816064
1067	985	74000	3.83	1646178304	1641816064
1067	800	74000	3.83	1646178304	1641816064
1067	762	73000	3.83	1646178304	1641816064
1067	885	73000	3.83	1707651072	1098399744
1067	787	73000	3.83	1707651072	1098399744
1067	871	73000	3.84	1707651072	1098399744
1067	857	73000	3.84	1707651072	1098399744
1067	857	73000	3.84	1707651072	1098399744
1067	850	73000	3.84	1707651072	1098399744
1067	857	73000	3.84	1707651072	1098399744
1067	850	73000	4.01	1707651072	1098399744
1067	850	73000	4.01	1707651072	1098399744
1067	857	74000	4.01	1707651072	1098399744
1067	871	74000	4.01	1707651072	1098399744
1067	850	74000	4.01	1707651072	1098399744
1067	871	74000	3.93	1707651072	1098399744
1067	775	74000	3.93	1707651072	1098399744
1067	837	74000	3.93	1707651072	1098399744
1067	857	74000	3.93	1707651072	1098399744
1067	837	74000	3.93	1707651072	1098399744
1067	837	74000	3.94	1707651072	1098399744
1067	850	74000	3.94	1707651072	1098399744
1067	850	74000	3.94	1707651072	1098399744
1067	857	74000	3.94	1707651072	1098399744
1067	871	74000	3.94	1707651072	1098399744
1067	837	74000	3.94	1707651072	1098399744
1067	857	74000	3.94	1707651072	1098399744
1067	837	74000	3.94	1707651072	1098399744
