level	repeat	request	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
2	1	0	468	128	54.196	587.924	0.648375
2	1	1	468	128	54.005	587.979	0.648375
2	2	0	468	128	54.244	588.002	0.648527
2	2	1	468	128	54.438	587.943	0.648527
2	3	0	468	128	54.454	587.921	0.648399
2	3	1	468	128	54.666	587.828	0.648399
2	4	0	468	128	54.225	588.028	0.648282
2	4	1	468	128	54.415	587.981	0.648282
3	1	0	468	128	80.787	641.770	0.729020
3	1	1	468	128	79.979	642.446	0.729020
3	1	2	468	128	79.743	642.567	0.729020
3	2	0	468	128	79.656	641.174	0.727058
3	2	1	468	128	79.869	641.076	0.727058
3	2	2	468	128	79.482	641.201	0.727058
3	3	0	468	128	79.979	641.909	0.727918
3	3	1	468	128	79.764	642.008	0.727918
3	3	2	468	128	79.571	642.070	0.727918
3	4	0	468	128	79.472	641.305	0.727229
3	4	1	468	128	79.874	641.148	0.727229
3	4	2	468	128	79.679	641.230	0.727229
4	1	0	468	128	105.277	2241.959	2.354020
4	1	1	468	128	105.730	2241.760	2.354020
4	1	2	468	128	106.461	2241.189	2.354020
4	1	3	468	128	105.500	2241.871	2.354020
4	2	0	468	128	106.350	702.961	0.815455
4	2	1	468	128	106.104	703.059	0.815455
4	2	2	468	128	105.614	703.243	0.815455
4	2	3	468	128	105.844	703.166	0.815455
4	3	0	468	128	80.471	731.200	0.823706
4	3	1	468	128	81.015	730.892	0.823706
4	3	2	468	128	80.743	731.072	0.823706
4	3	3	468	128	34.861	701.280	0.823706
4	4	0	468	128	106.109	699.781	0.812083
4	4	1	468	128	105.664	699.999	0.812083
4	4	2	468	128	105.447	700.077	0.812083
4	4	3	468	128	105.890	699.885	0.812083
