kind	placement	backend	dst_buffer	bytes	n_tokens	offset	digest
clip	device	CUDA0	CUDA0	360448	-	-	3b24a6bf1624d7a6
graph	device	CUDA0	-	360448	88	0	3b24a6bf1624d7a6
clip	device	CUDA0	CUDA0	315392	-	-	5af1dc077d1c80ab
graph	device	CUDA0	-	315392	77	0	5af1dc077d1c80ab
clip	device	CUDA0	CUDA0	315392	-	-	078e451832126660
graph	device	CUDA0	-	315392	77	0	078e451832126660
clip	device	CUDA0	CUDA0	360448	-	-	3b24a6bf1624d7a6
graph	device	CUDA0	-	360448	88	0	3b24a6bf1624d7a6
clip	device	CUDA0	CUDA0	315392	-	-	5af1dc077d1c80ab
graph	device	CUDA0	-	315392	77	0	5af1dc077d1c80ab
clip	device	CUDA0	CUDA0	315392	-	-	078e451832126660
graph	device	CUDA0	-	315392	77	0	078e451832126660
