phase	pair	position	arm	closure	base	width	length	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256	content_sha256
warmup	0	0	control	build-appliance-current	128	0	128	128	40.187	128	1002.125	2c91e6528e4b9bb362409873c0a3c84277a7ddb9e9b15c28c2c2d3fcdd2b9a4f	049a5d39a35f329b164bc6ece27ede5df0d56aca44b65739a93737c121651f87
warmup	0	0	subject	build-appliance-current	128	0	128	128	39.877	128	978.715	2c91e6528e4b9bb362409873c0a3c84277a7ddb9e9b15c28c2c2d3fcdd2b9a4f	049a5d39a35f329b164bc6ece27ede5df0d56aca44b65739a93737c121651f87
warmup	0	0	control	build-appliance-current	512	0	512	512	67.39	128	1002.455	ad38d10a636aa8f67cd08eb40319f9dcfeb200c0e455b66ce225e6e3ab01ce7c	564e2f164ca0b3bad385eb4f2c39b67584f8058dcad68295cb0cb504b0fbdc4e
warmup	0	0	subject	build-appliance-current	512	0	512	512	76.415	128	981.848	ad38d10a636aa8f67cd08eb40319f9dcfeb200c0e455b66ce225e6e3ab01ce7c	564e2f164ca0b3bad385eb4f2c39b67584f8058dcad68295cb0cb504b0fbdc4e
warmup	0	0	control	build-appliance-current	2048	0	2048	2048	263.93	128	1010.598	e943c1c2648ebd1f51efbe2f2720e73bab4de56485053299ce9475ea6cef2c49	204606b6b072b697414a9d0daac91dd070d709611f53b2544c3d6e5855ea4d15
warmup	0	0	subject	build-appliance-current	2048	0	2048	2048	272.226	128	989.933	e943c1c2648ebd1f51efbe2f2720e73bab4de56485053299ce9475ea6cef2c49	204606b6b072b697414a9d0daac91dd070d709611f53b2544c3d6e5855ea4d15
paired	1	1	control	build-appliance-current	128	0	128	128	24.043	128	999.794	2c91e6528e4b9bb362409873c0a3c84277a7ddb9e9b15c28c2c2d3fcdd2b9a4f	049a5d39a35f329b164bc6ece27ede5df0d56aca44b65739a93737c121651f87
paired	1	2	subject	build-appliance-current	128	0	128	128	32.57	128	978.024	2c91e6528e4b9bb362409873c0a3c84277a7ddb9e9b15c28c2c2d3fcdd2b9a4f	049a5d39a35f329b164bc6ece27ede5df0d56aca44b65739a93737c121651f87
paired	1	1	control	build-appliance-current	512	0	512	512	67.242	128	1001.543	ad38d10a636aa8f67cd08eb40319f9dcfeb200c0e455b66ce225e6e3ab01ce7c	564e2f164ca0b3bad385eb4f2c39b67584f8058dcad68295cb0cb504b0fbdc4e
paired	1	2	subject	build-appliance-current	512	0	512	512	75.888	128	981.675	ad38d10a636aa8f67cd08eb40319f9dcfeb200c0e455b66ce225e6e3ab01ce7c	564e2f164ca0b3bad385eb4f2c39b67584f8058dcad68295cb0cb504b0fbdc4e
paired	1	1	control	build-appliance-current	2048	0	2048	2048	263.237	128	1013.151	e943c1c2648ebd1f51efbe2f2720e73bab4de56485053299ce9475ea6cef2c49	204606b6b072b697414a9d0daac91dd070d709611f53b2544c3d6e5855ea4d15
paired	1	2	subject	build-appliance-current	2048	0	2048	2048	272.36	128	993.096	e943c1c2648ebd1f51efbe2f2720e73bab4de56485053299ce9475ea6cef2c49	204606b6b072b697414a9d0daac91dd070d709611f53b2544c3d6e5855ea4d15
paired	2	1	subject	build-appliance-current	128	0	128	128	31.808	128	980.249	2c91e6528e4b9bb362409873c0a3c84277a7ddb9e9b15c28c2c2d3fcdd2b9a4f	049a5d39a35f329b164bc6ece27ede5df0d56aca44b65739a93737c121651f87
paired	2	2	control	build-appliance-current	128	0	128	128	24.003	128	1001.755	2c91e6528e4b9bb362409873c0a3c84277a7ddb9e9b15c28c2c2d3fcdd2b9a4f	049a5d39a35f329b164bc6ece27ede5df0d56aca44b65739a93737c121651f87
paired	2	1	subject	build-appliance-current	512	0	512	512	76.785	128	982.526	ad38d10a636aa8f67cd08eb40319f9dcfeb200c0e455b66ce225e6e3ab01ce7c	564e2f164ca0b3bad385eb4f2c39b67584f8058dcad68295cb0cb504b0fbdc4e
paired	2	2	control	build-appliance-current	512	0	512	512	67.014	128	1004.143	ad38d10a636aa8f67cd08eb40319f9dcfeb200c0e455b66ce225e6e3ab01ce7c	564e2f164ca0b3bad385eb4f2c39b67584f8058dcad68295cb0cb504b0fbdc4e
