token	span_ns	device_busy_ns	device_idle_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	18264459	15969814	2294645	18143583	17095254	120876
1	21092077	18110239	2981838	20937787	19528692	154290
2	20639918	18908738	1731180	20498962	19440186	140956
3	21067560	18848194	2219366	20934770	19925275	132790
4	20876973	18815713	2061260	20732110	19386724	144863
5	21568881	17481885	4086996	21407942	19914489	160939
6	13703920	12179915	1524005	13554281	12643812	149639
7	6801535	4973009	1828526	6681449	5201461	120086
8	6472749	4952273	1520476	6390007	5167071	82742
9	5962060	4399984	1562076	5864994	4767776	97066
10	6155072	4354255	1800817	6052519	4764502	102553
11	5496125	4329070	1167055	5402301	4450383	93824
12	5300178	4204654	1095524	5199110	4331640	101068
13	5553773	4001293	1552480	5453826	4553017	99947
14	5613806	4302700	1311106	5522933	4469516	90873
15	7678472	4206282	3472190	7560299	6168568	118173
16	7671187	4127596	3543591	7374349	4304289	296838
17	8905655	4362317	4543338	8754723	5866891	150932
18	6052409	3925964	2126445	5923137	4450604	129272
19	5779367	4188430	1590937	5676265	4250749	103102
20	5592717	4162283	1430434	5489102	4336598	103615
21	5833418	4157579	1675839	5719696	4473037	113722
22	7668242	4146477	3521765	6549665	4264285	1118577
23	6365748	4053069	2312679	6254459	4167640	111289
24	6758374	4104683	2653691	6650624	4441727	107750
25	5869747	4239309	1630438	5778898	4627615	90849
26	6075282	4233196	1842086	5985612	4410706	89670
27	7487803	4123404	3364399	7390911	4255236	96892
28	6384954	4186378	2198576	6295008	4363311	89946
29	6005952	4080587	1925365	5909460	4726169	96492
30	5417217	3866955	1550262	5313051	4304158	104166
31	5463905	3899371	1564534	5374195	4274771	89710
32	6345560	4240525	2105035	6258119	4397305	87441
33	5343880	4065195	1278685	5254781	4190064	89099
34	5778485	4217709	1560776	5687984	4517579	90501
35	6276760	4131340	2145420	6170714	4568264	106046
36	5547502	4263405	1284097	5456190	4441866	91312
37	5426585	4136395	1290190	5331036	4252561	95549
38	5413560	3889931	1523629	5323285	4108745	90275
39	5921163	4223275	1697888	5825440	4612795	95723
40	6207801	4249319	1958482	6109599	4932320	98202
41	6130717	4145573	1985144	6032260	4802031	98457
42	7800480	4374699	3425781	7691726	4488274	108754
43	5479865	4048041	1431824	5380479	4236211	99386
44	5650705	4118154	1532551	5521144	4322683	129561
45	5619367	4183048	1436319	5523058	4358602	96309
46	5657168	4153769	1503399	5562058	4427931	95110
47	5569453	4117514	1451939	5478710	4299819	90743
48	5645956	4085608	1560348	5552661	4395470	93295
49	5642019	4107462	1534557	5567230	4470733	74789
50	5542923	4106569	1436354	5406595	4509952	136328
51	5948876	4116069	1832807	5854711	4548698	94165
52	5399443	3900775	1498668	5303923	4155618	95520
53	5297894	3913796	1384098	5210419	4256488	87475
54	5416756	4064553	1352203	5326828	4240220	89928
55	5646007	4202438	1443569	5556391	4379542	89616
56	5696942	4237606	1459336	5604009	4414067	92933
57	5575835	4163944	1411891	5496112	4350111	79723
58	5477270	4131528	1345742	5381631	4545591	95639
59	5579382	3869033	1710349	5469738	4327244	109644
