utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:48:20Z	2835	10251	50	194.19	100	89	1419	12282	0x0000000000000000	16384	1431	14953	23184804	1536	174308	113284	791464	3.20
2026-09-01T05:48:21Z	2835	10251	49	107.09	48	5	4215	12282	0x0000000000000000	16384	4227	12157	22951484	1536	174308	119640	792528	3.20
2026-09-01T05:48:22Z	2835	10251	57	166.12	100	89	4429	12282	0x0000000000000000	16384	4441	11943	22818708	1536	174308	114636	792592	3.20
2026-09-01T05:48:23Z	2835	10251	56	194.15	100	90	4429	12282	0x0000000000000000	16384	4441	11943	22747232	1536	174308	115204	792596	3.20
2026-09-01T05:48:24Z	2835	10251	57	193.80	98	85	4429	12282	0x0000000000000000	16384	4441	11943	22713108	1536	174308	114696	792600	3.20
