phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
subject	build-qwen-cuda-8680bc95e989	1044	1024	20	5	1044	56.552	32	126.838	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2065	2048	17	5	2065	96.757	32	128.759	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2066	2048	18	5	2066	94.262	32	130.973	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2067	2048	19	5	2067	95.624	32	140.866	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2068	2048	20	5	2068	104.448	32	131.833	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	17	0	17	1	17	29.588	32	141.463	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	18	0	18	1	18	11.267	32	127.761	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	19	0	19	1	19	10.238	32	127.678	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	20	0	20	1	20	9.378	32	131.804	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	529	512	17	1	529	32.332	32	138.658	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	530	512	18	1	530	29.997	32	137.433	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	1	531	32.07	32	135.749	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	1	532	30.13	32	128.915	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1041	1024	17	1	1041	52.642	32	130.631	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1042	1024	18	1	1042	51.767	32	132.301	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	1	1043	55.218	32	121.067	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	1	1044	55.332	32	124.648	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2065	2048	17	1	2065	92.883	32	133.801	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2066	2048	18	1	2066	99.361	32	132.388	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	1	2067	93.055	32	130.811	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	1	2068	102.727	32	129.476	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	17	0	17	2	17	12.008	32	144.19	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	18	0	18	2	18	12.754	32	139.576	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	19	0	19	2	19	9.866	32	145.63	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	20	0	20	2	20	9.078	32	140.002	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	529	512	17	2	529	37.737	32	132.433	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	530	512	18	2	530	36.47	32	138.889	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	2	531	34.257	32	139.177	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	2	532	34.879	32	135.812	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1041	1024	17	2	1041	53.817	32	133.736	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1042	1024	18	2	1042	51.931	32	126.32	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	2	1043	55.383	32	122.979	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	2	1044	55.436	32	125.694	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2065	2048	17	2	2065	93.328	32	135.074	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2066	2048	18	2	2066	96.782	32	136.583	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	2	2067	94.731	32	128.514	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	2	2068	96.868	32	145.801	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	17	0	17	3	17	10.24	32	143.094	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	18	0	18	3	18	9.353	32	133.951	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	19	0	19	3	19	12.009	32	136.175	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	20	0	20	3	20	12.401	32	140.124	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	529	512	17	3	529	33.665	32	143.12	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	530	512	18	3	530	37.417	32	140.907	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	3	531	37.569	32	137.726	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	3	532	34.945	32	145.643	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1041	1024	17	3	1041	55.566	32	144.023	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1042	1024	18	3	1042	61.335	32	141.787	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	3	1043	64.621	32	139.932	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	3	1044	59.354	32	140.252	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2065	2048	17	3	2065	94.756	32	127.293	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2066	2048	18	3	2066	96.096	32	127.201	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	3	2067	93.019	32	130.37	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	3	2068	94.587	32	136.95	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	17	0	17	4	17	11.051	32	146.432	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	18	0	18	4	18	9.504	32	130.593	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	19	0	19	4	19	9.204	32	130.006	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	20	0	20	4	20	11.998	32	130.621	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	529	512	17	4	529	31.284	32	131.247	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	530	512	18	4	530	30.725	32	135.903	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	4	531	30.487	32	135.479	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	4	532	29.521	32	122.227	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1041	1024	17	4	1041	52.214	32	129.857	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1042	1024	18	4	1042	52.332	32	135.548	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	4	1043	54.505	32	134.714	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	4	1044	53.49	32	138.338	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2065	2048	17	4	2065	105.221	32	138.455	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2066	2048	18	4	2066	101.361	32	143.871	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	4	2067	107.909	32	128.773	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	4	2068	95.453	32	134.985	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	17	0	17	5	17	11.495	32	133.38	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	18	0	18	5	18	9.749	32	126.531	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	19	0	19	5	19	10.19	32	125.724	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	20	0	20	5	20	9.542	32	131.1	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	529	512	17	5	529	33.686	32	132.07	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	530	512	18	5	530	32.901	32	133.8	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	5	531	32.559	32	141.365	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	5	532	30.896	32	134.62	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1041	1024	17	5	1041	55.191	32	133.332	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1042	1024	18	5	1042	62.947	32	128.525	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	5	1043	56.44	32	133.765	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	5	1044	53.399	32	133.753	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2065	2048	17	5	2065	95.056	32	127.978	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2066	2048	18	5	2066	96.608	32	135.0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	5	2067	96.715	32	133.817	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	5	2068	106.032	32	130.627	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
