phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
opening-control	build-appliance-current	18	0	18	3	18	13.977	32	140.837	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	19	0	19	3	19	14.117	32	144.497	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	20	0	20	3	20	12.549	32	138.941	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	529	512	17	3	529	39.693	32	151.711	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	530	512	18	3	530	35.051	32	144.172	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	3	531	35.231	32	142.615	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	3	532	32.43	32	148.453	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1041	1024	17	3	1041	59.701	32	144.679	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1042	1024	18	3	1042	62.753	32	149.377	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	3	1043	57.585	32	157.975	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	3	1044	57.686	32	145.448	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2065	2048	17	3	2065	107.043	32	145.522	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2066	2048	18	3	2066	107.938	32	154.689	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	3	2067	104.357	32	151.666	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	3	2068	105.522	32	151.455	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	17	0	17	4	17	14.278	32	150.282	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	18	0	18	4	18	15.502	32	140.41	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	19	0	19	4	19	13.518	32	138.407	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	20	0	20	4	20	13.998	32	135.862	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	529	512	17	4	529	34.559	32	140.588	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	530	512	18	4	530	36.047	32	139.569	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	4	531	35.668	32	142.849	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	4	532	36.221	32	141.2	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1041	1024	17	4	1041	55.355	32	143.971	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1042	1024	18	4	1042	58.097	32	140.238	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	4	1043	55.597	32	134.832	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	4	1044	55.154	32	142.698	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2065	2048	17	4	2065	99.956	32	136.162	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2066	2048	18	4	2066	98.33	32	124.954	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	4	2067	92.204	32	141.677	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	4	2068	101.709	32	137.708	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	17	0	17	5	17	9.304	32	136.108	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	18	0	18	5	18	9.732	32	128.1	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	19	0	19	5	19	10.111	32	133.802	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	20	0	20	5	20	10.662	32	122.569	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	529	512	17	5	529	33.11	32	126.91	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	530	512	18	5	530	35.063	32	128.983	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	5	531	35.949	32	133.285	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	5	532	33.637	32	129.278	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1041	1024	17	5	1041	50.491	32	132.604	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1042	1024	18	5	1042	51.55	32	127.744	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	5	1043	50.578	32	123.307	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	5	1044	55.353	32	141.309	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2065	2048	17	5	2065	95.397	32	126.652	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2066	2048	18	5	2066	96.067	32	122.353	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	5	2067	94.755	32	119.366	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	5	2068	94.486	32	117.125	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	17	0	17	1	17	16.123	32	133.901	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	18	0	18	1	18	9.25	32	128.806	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	19	0	19	1	19	9.544	32	129.185	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	20	0	20	1	20	9.194	32	126.718	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	529	512	17	1	529	40.131	32	141.424	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
