base	width	length	opening_ms	subject_ms	closing_ms	control_mean_ms	subject_gain	drift_floor	clears_floor	tokens_identical
0	17	17	17.055	11.604	14.876	15.966	0.2732	0.1364	yes	yes
0	18	18	13.094	8.546	10.525	11.809	0.2763	0.2175	yes	yes
0	19	19	13.947	11.172	10.301	12.124	0.0786	0.3007	no	yes
0	20	20	13.286	9.410	10.479	11.883	0.2081	0.2362	no	yes
512	17	529	36.723	34.342	33.741	35.232	0.0253	0.0846	no	yes
512	18	530	36.183	33.106	33.502	34.842	0.0498	0.0769	no	yes
512	19	531	35.694	33.534	33.388	34.541	0.0292	0.0667	no	yes
512	20	532	35.871	32.167	32.074	33.973	0.0531	0.1118	no	yes
1024	17	1041	56.257	53.799	53.886	55.071	0.0231	0.0430	no	yes
1024	18	1042	58.484	52.292	56.062	57.273	0.0870	0.0423	yes	yes
1024	19	1043	56.394	51.624	57.233	56.814	0.0914	0.0148	yes	yes
1024	20	1044	57.956	53.301	55.402	56.679	0.0596	0.0451	yes	yes
2048	17	2065	102.557	95.942	96.249	99.403	0.0348	0.0635	no	yes
2048	18	2066	101.918	95.623	98.042	99.980	0.0436	0.0388	yes	yes
2048	19	2067	99.420	94.462	97.086	98.253	0.0386	0.0238	yes	yes
2048	20	2068	100.820	99.525	99.133	99.977	0.0045	0.0169	no	yes
