model	file	targets	wall_ms	called	entries	id_exact	id_missing	id_invented	crux_in_range	crux_zero	crux_bad	outcome
qwen38-4b-distill	sys/arch/rp2040/dev/flash_swap.c	2	2825	yes	2	2	0	0	2	0	0	pass
qwen38-4b-distill	sys/arch/rp2040/rp2040/exec_hsaout.c	6	6328	yes	6	6	0	0	6	0	0	pass
qwen38-4b-distill	sys/arch/rp2040/dev/uart.c	19	13077	yes	19	19	0	0	19	0	0	pass
qwen38-4b-distill	sys/arch/rp2040/rp2040/swapram.c	34	16674	yes	36	36	0	0	32	0	4	fail
qwen38-4b-distill	sys/arch/rp2040/rp2040/mpu.c	5	5092	yes	5	5	0	0	5	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/flash_swap.c	2	2053	yes	2	2	0	0	2	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/rp2040/exec_hsaout.c	6	4656	yes	6	6	0	0	6	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/uart.c	19	12468	yes	19	19	0	0	19	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/rp2040/swapram.c	34	24990	yes	36	36	0	0	34	0	2	fail
qwen3-4b-instruct-2507	sys/arch/rp2040/rp2040/mpu.c	5	3750	yes	5	5	0	0	5	0	0	pass
symbols_done
