timestamp	memory_used_mib	memory_reserved_mib	utilization_gpu_pct	utilization_memory_pct	sm_clock_mhz	power_draw_w
2026/08/31 09:42:05.443	3494	402	66	6	2835	60.29
2026/08/31 09:42:05.546	3494	402	63	16	2835	61.93
2026/08/31 09:42:05.646	3494	402	63	16	2835	61.93
2026/08/31 09:42:05.746	3494	402	63	16	2835	61.93
2026/08/31 09:42:05.846	3494	402	63	16	2835	61.93
2026/08/31 09:42:05.946	3494	402	63	16	2835	61.93
2026/08/31 09:42:06.047	3494	402	52	5	2835	60.49
2026/08/31 09:42:06.147	3494	402	52	5	2835	60.49
2026/08/31 09:42:06.247	3494	402	52	5	2835	60.49
2026/08/31 09:42:06.347	3494	402	52	5	2835	60.49
2026/08/31 09:42:06.447	3494	402	52	5	2835	60.49
2026/08/31 09:42:06.547	3494	402	53	6	2835	56.53
2026/08/31 09:42:06.647	3494	402	53	6	2835	56.53
2026/08/31 09:42:06.747	3494	402	53	6	2835	56.53
2026/08/31 09:42:06.847	3494	402	53	6	2835	56.53
2026/08/31 09:42:06.948	3494	402	53	6	2835	56.53
2026/08/31 09:42:07.048	3494	402	50	5	2835	56.52
2026/08/31 09:42:07.148	3494	402	50	5	2835	56.52
2026/08/31 09:42:07.248	3494	402	50	5	2835	56.52
2026/08/31 09:42:07.348	3492	402	50	5	2835	56.52
2026/08/31 09:42:07.448	3046	402	50	5	2835	56.52
2026/08/31 09:42:07.548	1227	402	52	5	2835	57.01
2026/08/31 09:42:07.651	1241	402	52	5	2835	57.01
2026/08/31 09:42:07.751	1426	402	52	5	2835	57.01
2026/08/31 09:42:07.851	1426	402	52	5	2835	57.01
2026/08/31 09:42:07.951	1426	402	52	5	2835	57.01
2026/08/31 09:42:08.052	1426	402	51	6	2835	59.58
2026/08/31 09:42:08.152	1426	402	51	6	2835	59.58
2026/08/31 09:42:08.252	6928	402	51	6	2835	59.58
2026/08/31 09:42:08.352	6928	402	51	6	2835	59.58
2026/08/31 09:42:08.452	6928	402	51	6	2835	59.58
2026/08/31 09:42:08.552	6928	402	71	7	2835	60.15
2026/08/31 09:42:08.653	6928	402	71	7	2835	60.15
2026/08/31 09:42:08.753	6928	402	71	7	2835	60.15
2026/08/31 09:42:08.853	6928	402	71	7	2835	60.15
2026/08/31 09:42:08.953	6928	402	71	7	2835	60.15
