graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
0	1788554415521794881	0x7f27a1e2f3b0	1	7565fec99ff6ebb7	8a8bae1bd5f71c7d	1459	2	1	256	-1	1	1	1	first_compute	-1	-	-	-	0	0	direct	none	63100	161.7674
1	1788554415888087533	0x7f27a1e2f3b0	1	da7570afdbb81394	94a357743892276a	1459	252	0	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	36426	180.9173
2	1788554416078088965	0x7f27a1e2f3b0	1	802ba1f19f5ea689	7d1f90516afcefd3	1459	4	1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	21666	111.9908
3	1788554416192487690	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	3495	5.3343
4	1788554416198776574	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	update	3497	6.9972
5	1788554416206636869	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	505	3.8001
6	1788554416211539258	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	573	3.8467
7	1788554416216287938	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	463	4.0485
8	1788554416221201248	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.9999
9	1788554416226057580	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	463	3.8227
10	1788554416230728354	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	462	3.8546
11	1788554416235365445	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	4.0421
12	1788554416240241825	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	4.0610
13	1788554416245137151	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	3.8201
14	1788554416249826550	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	461	3.8434
15	1788554416254468099	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	4.0886
16	1788554416259344459	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	3.9768
17	1788554416264163171	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	510	3.8343
18	1788554416268886053	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.8365
19	1788554416273586833	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	3.9132
20	1788554416278285710	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	462	3.9503
21	1788554416283071530	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	3.8207
22	1788554416287728207	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.8452
23	1788554416292432965	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	586	3.8775
24	1788554416297221159	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	4.0515
25	1788554416302140210	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	3.9883
26	1788554416306983438	0x7f27a1e2f3b0	1	0dfa7fc3533697c4	bf4695d7b8bc75bc	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	465	3.8367
27	1788554416312332085	0x7f27a1e2f3b0	1	94dc22ce3d23b91b	34e8b5fc5449164a	1459	2	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	1	0	direct	none	2643	5.1169
