topology_digest	cycles	phases	n_tokens	n_outputs	direct	capture	replay	replay_median_ms	direct_median_ms
0fdbf3977c990123	5	T0,T1,T3	1	1	15	10	454	3.9600	4.8360
0dfa7fc3533697c4	5	T0,T1,T3	1	1	10	10	450	3.8790	4.8331
d702fd6fe588b6cb	10	T2	2	2	10	10	290	4.2170	5.7409
802ba1f19f5ea689	10	T0,T1	4	1	10	0	0	-	4.9696
94dc22ce3d23b91b	5	T1	2	1	5	0	0	-	4.6996
d8f873be867a8271	5	T1	251	0	5	0	0	-	17.0157
79cc5f245f480542	5	T1	2	1	5	0	0	-	4.8845
bcd06391008a2d68	5	T1	3	1	5	0	0	-	4.8269
5e879b663492f411	5	T0	4	1	5	0	0	-	5.3755
da7570afdbb81394	5	T1	252	0	5	0	0	-	17.0665
