arm	request	client_ms	lease_wait_ms	wall_ms	rays	hits	reference_agreement	reference_disagreement	results_fnv1a64	device_allocated_bytes	device_resident_mib	accel_ms	compare_ms	cuda_context_ms	download_ms	launch_ms	module_ms	optix_context_ms	pipeline_ms	reference_ms	sbt_ms	scene_ms	teardown_ms	upload_ms	note
resident-startup	0	234.413		234.413						4008		0.477		149.573			0.610	70.848	12.862		0.039				
resident-idle-before	0									4008	214														
resident	1	11.082	0.138	10.547	65536	44290	65536	0	20091d9f2a28e414	2101160			0.716		0.250	2.562				4.734		1.840		0.445	
resident	2	7.948	0.135	7.548	65536	44290	65536	0	20091d9f2a28e414	2101160			0.983		0.239	0.148				4.766		1.050		0.361	
resident	3	8.479	0.591	7.391	65536	44290	65536	0	20091d9f2a28e414	2101160			0.685		0.261	0.142				4.869		1.089		0.344	
resident	4	7.942	0.261	7.177	65536	44290	65536	0	20091d9f2a28e414	2101160			0.693		0.235	0.157				4.663		1.061		0.366	
resident	5	8.578	0.277	7.737	65536	44290	65536	0	20091d9f2a28e414	2101160			0.688		0.256	0.151				4.632		1.587		0.420	
resident	6	8.740	0.295	7.930	65536	44290	65536	0	20091d9f2a28e414	2101160			0.693		0.180	0.245				5.011		1.601		0.200	
resident	7	8.508	0.303	7.750	65536	44290	65536	0	20091d9f2a28e414	2101160			0.699		0.202	0.167				4.981		1.269		0.431	
resident	8	7.606	0.184	6.935	65536	44290	65536	0	20091d9f2a28e414	2101160			0.687		0.080	0.085				4.827		1.065		0.191	
resident-retiring	0									2101160															session_limit
resident-idle-after	0									2101160	316														
resident-retire	0	13.924		13.924						0													13.924		session_limit
