symbol	counter	control	subject	n_control	n_subject
fixup<t8,J24,fb0>	stall long_scoreboard	11.66	11.51	14	14
fixup<t8,J24,fb0>	stall wait	3.05	3.13	14	14
fixup<t8,J24,fb0>	duration us	4.85	4.80	14	14
fixup<t8,J24,fb0>	dram throughput pct	33.44	34.66	14	14
fixup<t8,J24,fb0>	dram bytes	-	-	0	0
fixup<t8,J24,fb0>	l2 hit pct	25.39	26.29	14	14
fixup<t8,J24,fb0>	issue active pct	9.70	9.79	14	14
fixup<t8,J24,fb0>	achieved occupancy	16.70	17.13	14	14
fixup<t8,J24,fb0>	registers	39.00	48.00	14	14
fixup<t8,J24,fb0>	waves per sm	0.33	0.40	14	14
fixup<t8,J32,fb1>	stall long_scoreboard	0.36	0.24	6	6
fixup<t8,J32,fb1>	stall wait	3.36	3.40	6	6
fixup<t8,J32,fb1>	duration us	7.71	7.41	6	6
fixup<t8,J32,fb1>	dram throughput pct	3.21	3.00	6	6
fixup<t8,J32,fb1>	dram bytes	-	-	0	0
fixup<t8,J32,fb1>	l2 hit pct	45.28	52.12	6	6
fixup<t8,J32,fb1>	issue active pct	21.48	21.60	6	6
fixup<t8,J32,fb1>	achieved occupancy	23.81	23.99	6	6
fixup<t8,J32,fb1>	registers	40.00	52.00	6	6
fixup<t8,J32,fb1>	waves per sm	0.33	0.44	6	6
