level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	12.906	571.650	0.585687
1	subject	1	0	4	128	13.242	571.437	0.585813
1	control	2	0	4	128	13.137	575.649	0.589930
1	subject	2	0	4	128	12.973	572.303	0.586323
1	control	3	0	4	128	12.417	576.816	0.590426
1	subject	3	0	4	128	12.438	576.666	0.590179
1	control	4	0	4	128	12.462	574.225	0.587800
1	subject	4	0	4	128	14.663	574.329	0.590024
3	control	1	0	4	128	22.621	718.328	0.742552
3	control	1	1	4	128	17.775	718.204	0.742552
3	control	1	2	4	128	13.531	718.068	0.742552
3	subject	1	0	4	128	23.945	713.145	0.738731
3	subject	1	1	4	128	19.076	713.048	0.738731
3	subject	1	2	4	128	13.371	712.913	0.738731
3	control	2	0	4	128	22.580	713.035	0.737249
3	control	2	1	4	128	17.641	712.970	0.737249
3	control	2	2	4	128	13.335	712.837	0.737249
3	subject	2	0	4	128	22.356	711.697	0.735644
3	subject	2	1	4	128	17.229	711.573	0.735644
3	subject	2	2	4	128	13.019	711.437	0.735644
3	control	3	0	4	128	24.468	710.772	0.736900
3	control	3	1	4	128	19.125	710.741	0.736900
3	control	3	2	4	128	14.641	710.606	0.736900
3	subject	3	0	4	128	24.719	720.174	0.746542
3	subject	3	1	4	128	18.312	720.069	0.746542
3	subject	3	2	4	128	13.462	719.927	0.746542
3	control	4	0	4	128	22.117	714.028	0.737866
3	control	4	1	4	128	17.365	713.909	0.737866
3	control	4	2	4	128	13.200	713.827	0.737866
3	subject	4	0	4	128	22.387	714.265	0.738619
3	subject	4	1	4	128	17.346	714.180	0.738619
3	subject	4	2	4	128	13.115	714.093	0.738619
