model	level	bursts	synchronized_bursts	full_width_passes_median	decode_iteration_ms_median	full_width_decode_tok_s_median	delivered_tok_s_reported
qwen38-2b-distill	1	4	4	127	4.088	244.51	230.79
qwen38-2b-distill	2	4	4	127	4.629	431.85	394.51
qwen38-2b-distill	4	4	4	127	5.514	725.18	629.76
qwen38-2b-distill	7	4	0	126	7.384	948.02	781.21
qwen38-2b-distill	8	4	0	126	8.139	981.53	805.70
qwen38-2b-distill	10	4	0	125	9.308	1074.22	857.70
qwen38-2b-distill	11	4	0	125	9.730	1130.08	897.76
qwen35-08b	1	4	4	127	3.052	327.33	310.19
qwen35-08b	2	4	4	127	3.568	560.41	518.01
qwen35-08b	4	4	4	127	4.402	907.72	806.74
qwen35-08b	7	4	0	126	5.593	1251.20	1056.21
qwen35-08b	8	4	0	126	6.030	1325.71	1099.56
qwen35-08b	10	4	0	125	6.897	1448.28	1179.53
qwen35-08b	11	4	0	125	7.405	1483.07	1202.69
