model_id	level	aggregate_tok_s	iteration_us	iteration_growth
qwen38-2b-distill	1	230.79	4332.9	1.0000
qwen38-2b-distill	2	394.51	5069.6	1.1700
qwen38-2b-distill	4	629.76	6351.6	1.4659
qwen38-2b-distill	7	781.21	8960.5	2.0680
qwen38-2b-distill	8	805.70	9929.3	2.2916
qwen38-2b-distill	10	857.70	11659.1	2.6908
qwen38-2b-distill	11	897.76	12252.7	2.8278
qwen35-08b	1	310.19	3223.8	1.0000
qwen35-08b	2	518.01	3860.9	1.1976
qwen35-08b	4	806.74	4958.2	1.5380
qwen35-08b	7	1056.21	6627.5	2.0558
qwen35-08b	8	1099.56	7275.6	2.2568
qwen35-08b	10	1179.53	8478.0	2.6298
qwen35-08b	11	1202.69	9146.2	2.8370
