arm	spec_type	draft_n_max	prompt_id	prompt_tok_s	decode_tok_s	predicted_n	unique_4gram_ratio	vram_peak_mib	status
baseline	none	0	prose	297.25411511165606	64.83690974575033	256	1.0000	7730	ok
baseline	none	0	code	650.8743983693884	66.65690774683968	256	0.9932	7747	ok
baseline	none	0	math	993.9299279400802	66.69992071864326	256	0.9662	7747	ok
draft2	draft-simple	2	prose	262.9308574010928	38.0862652414139	256	0.9946	8742	ok
draft2	draft-simple	2	code	441.9426870115371	43.402179402142636	256	1.0000	8746	ok
draft2	draft-simple	2	math	710.6689171182376	52.193049605093066	256	0.9662	8746	ok
draft4	draft-simple	4	prose	280.5196626751056	39.3094304248517	256	1.0000	8728	ok
draft4	draft-simple	4	code	506.9979052981281	47.98674888270853	256	0.9932	8732	ok
draft4	draft-simple	4	math	713.5939650338956	62.019274617699814	256	0.9662	8734	ok
draft8	draft-simple	8	prose	355.3857601368235	36.53343805297119	256	0.9938	8730	ok
draft8	draft-simple	8	code	502.207067903682	45.881942702629956	256	1.0000	8734	ok
draft8	draft-simple	8	math	767.7332675276248	70.25019814688243	256	0.9548	8736	ok
mtp	draft-mtp	1	prose	340.440018724201	93.9289830585266	256	1.0000	8210	ok
mtp	draft-mtp	1	code	604.460280596825	96.57989751926011	256	0.9932	8214	ok
mtp	draft-mtp	1	math	807.4516249963954	100.35506013826173	256	0.9662	8216	ok
ngram	ngram-simple	4	prose	525.9265346371928	66.8868248693084	256	1.0000	7830	ok
ngram	ngram-simple	4	code	754.1328464545833	66.84420137038478	256	0.9932	7832	ok
ngram	ngram-simple	4	math	1118.2108626198083	66.82689397245002	256	0.9662	7832	ok
