2835	10251	46	63.14	46	4	2283	12282	0x0000000000000000	3.57
2835	10251	46	58.52	47	4	2297	12282	0x0000000000000000	3.60
2835	10251	45	58.57	45	5	2482	12282	0x0000000000000000	3.60
2835	10251	45	58.13	47	5	2478	12282	0x0000000000000000	3.60
2835	10251	45	58.10	47	4	2478	12282	0x0000000000000000	3.60
2835	10251	45	58.06	46	5	2492	12282	0x0000000000000000	3.60
2835	10251	45	57.69	48	5	7306	12282	0x0000000000000000	3.80
2835	10251	45	58.42	53	6	7296	12282	0x0000000000000000	3.80
2835	10251	45	57.80	47	5	7296	12282	0x0000000000000000	3.80
2835	10251	45	58.08	46	5	7296	12282	0x0000000000000000	3.80
2835	10251	45	58.80	44	4	7700	12282	0x0000000000000000	3.80
2835	10251	45	57.81	45	4	7696	12282	0x0000000000000000	3.81
2835	10251	45	58.14	46	4	7696	12282	0x0000000000000000	3.81
2835	10251	44	58.14	44	4	7696	12282	0x0000000000000000	3.81
2835	10251	45	60.78	50	9	8708	12282	0x0000000000000000	3.81
2835	10251	44	57.91	45	4	8708	12282	0x0000000000000000	3.81
2835	10251	48	76.68	78	35	8720	12282	0x0000000000000000	3.75
2835	10251	52	144.47	85	47	8728	12282	0x0000000000000000	3.75
2835	10251	52	147.79	85	50	8728	12282	0x0000000000000000	3.75
2835	10251	49	149.96	84	50	8728	12282	0x0000000000000000	3.75
2835	10251	49	147.20	84	44	8728	12282	0x0000000000000000	3.75
2835	10251	51	148.59	87	52	8728	12282	0x0000000000000000	3.69
2835	10251	53	147.44	85	50	8728	12282	0x0000000000000000	3.69
2835	10251	49	134.65	86	51	8732	12282	0x0000000000000000	3.69
2835	10251	50	144.67	86	49	8732	12282	0x0000000000000000	3.69
2835	10251	54	148.50	87	51	8732	12282	0x0000000000000000	3.69
2835	10251	51	150.03	82	45	8732	12282	0x0000000000000000	3.95
2835	10251	54	143.89	86	50	8732	12282	0x0000000000000000	3.95
2835	10251	51	134.80	84	45	8734	12282	0x0000000000000000	3.95
2835	10251	52	147.94	86	49	8734	12282	0x0000000000000000	3.95
2835	10251	52	152.14	87	54	8734	12282	0x0000000000000000	4.20
2835	10251	51	148.27	85	50	8734	12282	0x0000000000000000	4.20
