phase	width	pair	position	closure	settle_waited_s	settle_power_w	settle_temperature_c	settle_clocks_sm_mhz	settle_utilization_gpu	pp_tok_s	tg_tok_s	status	pp_cold_tok_s	tg_cold_tok_s
opening-control	17	1	1	build-appliance-current	0	58.40	45	2835	47	3377.63	288.43	ok	1256.39	281.92
opening-control	17	2	1	build-appliance-current	2	58.73	45	2835	52	3401.35	286.25	ok	1227.69	273.49
opening-control	17	3	1	build-appliance-current	1	60.52	45	2835	48	3322.02	293.56	ok	1278.68	278.04
paired	17	1	1	build-appliance-current	2	57.78	45	2835	49	3481.67	282.23	ok	1116.10	249.61
paired	17	1	2	build-qwen-cuda-8680bc95e989	1	58.08	45	2835	47	3822.77	257.89	ok	1442.88	254.98
paired	17	2	1	build-qwen-cuda-8680bc95e989	2	57.44	45	2835	49	3175.03	263.58	ok	1107.45	235.64
paired	17	2	2	build-appliance-current	1	73.06	45	2835	47	3267.08	284.12	ok	1188.16	267.08
paired	17	3	1	build-appliance-current	1	59.49	45	2835	49	3269.11	269.05	ok	1165.05	251.61
paired	17	3	2	build-qwen-cuda-8680bc95e989	1	56.91	45	2835	46	3959.00	269.36	ok	1191.61	254.46
paired	17	4	1	build-qwen-cuda-8680bc95e989	1	57.52	45	2835	43	3412.72	267.19	ok	1253.76	256.99
paired	17	4	2	build-appliance-current	1	56.40	45	2835	47	3390.55	268.25	ok	881.85	233.44
paired	17	5	1	build-appliance-current	1	58.28	45	2835	46	3284.28	265.62	ok	1036.54	239.16
paired	17	5	2	build-qwen-cuda-8680bc95e989	1	57.44	46	2835	34	3609.05	257.54	ok	1116.90	258.54
paired	17	6	1	build-qwen-cuda-8680bc95e989	1	56.78	46	2835	45	3568.46	272.26	ok	1128.68	243.21
paired	17	6	2	build-appliance-current	1	57.17	46	2835	35	2974.82	251.52	ok	911.01	232.45
paired	17	7	1	build-appliance-current	1	57.26	46	2835	39	3027.95	242.32	ok	1105.99	244.99
paired	17	7	2	build-qwen-cuda-8680bc95e989	1	57.97	46	2835	52	2529.34	285.52	ok	1173.91	273.06
paired	17	8	1	build-qwen-cuda-8680bc95e989	1	58.05	47	2835	50	3124.12	269.22	ok	1207.50	255.48
paired	17	8	2	build-appliance-current	1	58.40	47	2835	47	3307.76	277.90	ok	1188.45	269.93
paired	17	9	1	build-appliance-current	1	58.11	47	2835	47	3368.61	258.71	ok	1001.59	254.89
paired	17	9	2	build-qwen-cuda-8680bc95e989	1	57.91	47	2835	49	3761.79	267.01	ok	1284.74	250.28
paired	17	10	1	build-qwen-cuda-8680bc95e989	1	58.26	47	2835	47	3682.02	264.76	ok	1040.44	244.63
paired	17	10	2	build-appliance-current	1	58.06	47	2835	50	3455.96	268.19	ok	965.61	254.39
paired	18	1	1	build-appliance-current	1	57.97	47	2835	47	3785.86	278.16	ok	862.35	252.02
paired	18	1	2	build-qwen-cuda-8680bc95e989	1	69.32	47	2835	46	3428.59	268.45	ok	1160.01	255.31
paired	18	2	1	build-qwen-cuda-8680bc95e989	1	57.62	48	2835	48	3371.04	253.74	ok	1234.49	253.40
paired	18	2	2	build-appliance-current	1	58.80	48	2835	51	3545.46	281.37	ok	969.37	260.59
paired	18	3	1	build-appliance-current	1	66.33	48	2835	48	3496.37	281.24	ok	1196.64	258.04
paired	18	3	2	build-qwen-cuda-8680bc95e989	1	65.92	48	2835	46	3499.02	272.23	ok	1361.53	255.43
paired	18	4	1	build-qwen-cuda-8680bc95e989	1	70.53	48	2835	50	3803.71	265.80	ok	1477.08	264.87
paired	18	4	2	build-appliance-current	1	59.45	48	2835	51	3673.10	293.79	ok	1243.62	274.04
paired	18	5	1	build-appliance-current	2	58.29	48	2835	51	3664.26	274.02	ok	1212.02	266.51
paired	18	5	2	build-qwen-cuda-8680bc95e989	1	57.74	48	2835	51	3884.83	293.60	ok	1428.42	278.73
paired	18	6	1	build-qwen-cuda-8680bc95e989	2	57.73	49	2835	48	3845.95	274.92	ok	1689.64	274.50
paired	18	6	2	build-appliance-current	1	72.19	49	2835	52	3477.61	267.64	ok	1297.83	254.42
paired	18	7	1	build-appliance-current	1	59.02	49	2835	51	3161.00	279.75	ok	1137.75	265.15
paired	18	7	2	build-qwen-cuda-8680bc95e989	1	58.88	49	2835	51	3806.31	276.04	ok	1339.96	268.60
paired	18	8	1	build-qwen-cuda-8680bc95e989	0	60.84	49	2835	58	4061.27	279.30	ok	1504.28	260.21
paired	18	8	2	build-appliance-current	1	66.76	49	2835	50	3488.57	287.32	ok	1346.95	268.87
paired	18	9	1	build-appliance-current	1	58.65	49	2835	53	3553.20	269.05	ok	1123.36	251.39
paired	18	9	2	build-qwen-cuda-8680bc95e989	1	58.46	49	2835	44	3736.12	267.63	ok	1254.42	262.99
paired	18	10	1	build-qwen-cuda-8680bc95e989	1	61.49	49	2835	48	3364.32	266.82	ok	1240.11	264.85
paired	18	10	2	build-appliance-current	1	66.19	49	2835	50	3239.43	272.14	ok	1250.62	260.20
paired	19	1	1	build-appliance-current	2	58.93	49	2835	50	4010.15	287.53	ok	1212.22	270.19
paired	19	1	2	build-qwen-cuda-8680bc95e989	-	-	-	-	-	-	-	refused-quiescence	-	-
