phase	width	pair	position	closure	settle_waited_s	settle_power_w	settle_temperature_c	settle_clocks_sm_mhz	settle_utilization_gpu	pp_tok_s	tg_tok_s	status
opening-control	17	1	1	build-appliance-current	0	58.28	50	2835	49	1348.17	277.19	ok
opening-control	17	2	1	build-appliance-current	0	59.91	51	2835	58	897.41	264.39	ok
opening-control	17	3	1	build-appliance-current	0	61.10	51	2835	62	1068.35	275.83	ok
paired	17	1	1	build-appliance-current	0	59.99	51	2835	55	942.60	233.54	ok
paired	17	1	2	build-qwen-cuda-8680bc95e989	0	71.65	51	2835	47	1890.79	261.80	ok
paired	17	2	1	build-qwen-cuda-8680bc95e989	2	62.67	51	2835	50	1435.89	246.19	ok
paired	17	2	2	build-appliance-current	2	63.99	51	2835	54	1236.06	271.23	ok
paired	17	3	1	build-appliance-current	1	71.82	51	2835	51	1090.04	228.59	ok
paired	17	3	2	build-qwen-cuda-8680bc95e989	1	67.02	51	2835	55	1376.21	284.08	ok
paired	17	4	1	build-qwen-cuda-8680bc95e989	0	60.09	52	2835	57	1433.24	270.87	ok
paired	17	4	2	build-appliance-current	0	60.27	52	2835	55	1110.10	243.85	ok
paired	17	5	1	build-appliance-current	0	62.81	52	2835	57	986.41	269.04	ok
paired	17	5	2	build-qwen-cuda-8680bc95e989	0	59.35	52	2835	60	1308.02	274.41	ok
paired	17	6	1	build-qwen-cuda-8680bc95e989	1	58.48	51	2835	48	1242.13	268.78	ok
