1790009442.388973611	free	kwin_wayland 173 MiB
1790009442.388973611	free	Discord 903 MiB
1790009442.388973611	free	msedge 274 MiB
1790009442.388973611	free	tick
1790009442.510248470	held	kwin_wayland 173 MiB
1790009442.510248470	held	Discord 903 MiB
1790009442.510248470	held	msedge 274 MiB
1790009442.510248470	held	optix-ray-runtime 10 MiB
1790009442.510248470	held	tick
1790009442.637118418	held	kwin_wayland 173 MiB
1790009442.637118418	held	Discord 903 MiB
1790009442.637118418	held	msedge 274 MiB
1790009442.637118418	held	optix-ray-runtime 214 MiB
1790009442.637118418	held	tick
1790009442.757795465	held	kwin_wayland 173 MiB
1790009442.757795465	held	Discord 903 MiB
1790009442.757795465	held	msedge 274 MiB
1790009442.757795465	held	optix-ray-runtime 346 MiB
1790009442.757795465	held	tick
1790009442.881948043	held	kwin_wayland 173 MiB
1790009442.881948043	held	Discord 903 MiB
1790009442.881948043	held	msedge 274 MiB
1790009442.881948043	held	optix-ray-runtime 10 MiB
1790009442.881948043	held	tick
1790009443.006182556	held	kwin_wayland 173 MiB
1790009443.006182556	held	Discord 903 MiB
1790009443.006182556	held	msedge 274 MiB
1790009443.006182556	held	optix-ray-runtime 214 MiB
1790009443.006182556	held	tick
1790009443.129565550	held	kwin_wayland 173 MiB
1790009443.129565550	held	Discord 903 MiB
1790009443.129565550	held	msedge 274 MiB
1790009443.129565550	held	optix-ray-runtime 346 MiB
1790009443.129565550	held	tick
1790009443.251928120	held	kwin_wayland 173 MiB
1790009443.251928120	held	Discord 903 MiB
1790009443.251928120	held	msedge 274 MiB
1790009443.251928120	held	tick
1790009443.375959000	held	kwin_wayland 173 MiB
1790009443.375959000	held	Discord 903 MiB
1790009443.375959000	held	msedge 274 MiB
1790009443.375959000	held	optix-ray-runtime 198 MiB
1790009443.375959000	held	tick
1790009443.497874341	held	kwin_wayland 173 MiB
1790009443.497874341	held	Discord 903 MiB
1790009443.497874341	held	msedge 274 MiB
1790009443.497874341	held	optix-ray-runtime 346 MiB
1790009443.497874341	held	tick
1790009443.614660306	held	kwin_wayland 173 MiB
1790009443.614660306	held	Discord 903 MiB
1790009443.614660306	held	msedge 274 MiB
1790009443.614660306	held	tick
1790009443.739166879	held	kwin_wayland 173 MiB
1790009443.739166879	held	Discord 903 MiB
1790009443.739166879	held	msedge 274 MiB
1790009443.739166879	held	optix-ray-runtime 196 MiB
1790009443.739166879	held	tick
1790009443.880549901	held	kwin_wayland 173 MiB
1790009443.880549901	held	Discord 903 MiB
1790009443.880549901	held	msedge 274 MiB
1790009443.880549901	held	optix-ray-runtime 346 MiB
1790009443.880549901	held	tick
1790009444.001898789	held	kwin_wayland 173 MiB
1790009444.001898789	held	Discord 903 MiB
1790009444.001898789	held	msedge 274 MiB
1790009444.001898789	held	tick
1790009444.138403156	held	kwin_wayland 173 MiB
1790009444.138403156	held	Discord 903 MiB
1790009444.138403156	held	msedge 274 MiB
