utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-05T01:26:03Z	600	5001	43	43.14	3	5	1381	12282	0x0000000000000001	16384	1396	14988	21683812	828	173600	164396	1617120	3.86
2026-09-05T01:26:04Z	1500	5001	43	30.00	16	15	3104	12282	0x0000000000000001	16384	3122	13262	21171660	828	173600	166076	1619304	3.86
2026-09-05T01:26:05Z	2835	10251	45	51.39	31	15	4440	12282	0x0000000000000000	16384	4461	11923	20882164	828	173600	167592	1619380	3.86
2026-09-05T01:26:06Z	2835	10251	45	127.98	93	85	4452	12282	0x0000000000000000	16384	4467	11917	20793052	828	173600	168196	1618740	3.63
2026-09-05T01:26:07Z	2835	10251	46	121.62	92	83	4458	12282	0x0000000000000000	16384	4473	11911	20723580	828	173600	167600	1618868	3.63
2026-09-05T01:26:08Z	2835	10251	46	125.84	93	84	4458	12282	0x0000000000000000	16384	4473	11911	20703552	828	173600	167280	1618868	3.63
2026-09-05T01:26:09Z	2835	10251	47	124.87	15	13	4458	12282	0x0000000000000000	16384	4473	11911	20700224	828	173600	167052	1618740	3.63
2026-09-05T01:26:10Z	2835	10251	47	124.92	93	84	4458	12282	0x0000000000000000	16384	4473	11911	20713144	828	173600	166988	1618676	3.63
2026-09-05T01:26:11Z	2835	10251	54	125.61	93	85	4458	12282	0x0000000000000000	16384	4473	11911	20710684	828	173600	168032	1618748	3.42
2026-09-05T01:26:12Z	2835	10251	54	122.46	92	82	4458	12282	0x0000000000000000	16384	4473	11911	20725064	828	173600	164392	1619292	3.42
2026-09-05T01:26:13Z	2835	10251	54	122.50	93	85	4479	12282	0x0000000000000000	16384	4494	11890	20713132	828	173600	166740	1618680	3.42
2026-09-05T01:26:14Z	2850	10251	54	122.54	93	84	4458	12282	0x0000000000000000	16384	4473	11911	20715996	828	173600	167048	1618680	3.42
2026-09-05T01:26:15Z	2850	10251	53	122.32	25	21	4458	12282	0x0000000000000000	16384	4473	11911	20743056	828	173600	166604	1618744	3.42
2026-09-05T01:26:16Z	2850	10501	46	128.70	4	3	1588	12282	0x0000000000000000	16384	1605	14779	21457496	828	173600	164860	1617576	3.38
2026-09-05T01:26:18Z	2850	10251	45	66.16	3	3	4602	12282	0x0000000000000000	16384	4617	11767	21083868	828	173600	170828	1618760	3.38
2026-09-05T01:26:19Z	2835	10251	55	73.39	2	3	4614	12282	0x0000000000000001	16384	4629	11755	20912864	828	173600	169280	1619096	3.38
2026-09-05T01:26:20Z	2820	10251	45	171.00	55	25	4620	12282	0x0000000000000000	16384	4635	11749	20757352	828	173600	165528	1619064	3.38
2026-09-05T01:26:21Z	2835	10251	46	139.07	88	76	4626	12282	0x0000000000000000	16384	4641	11743	20660292	828	173600	166424	1619064	3.38
2026-09-05T01:26:22Z	2835	10251	56	153.55	43	37	4626	12282	0x0000000000000000	16384	4641	11743	20655136	828	173600	166000	1619064	3.11
2026-09-05T01:26:23Z	2835	10251	56	126.93	86	73	4626	12282	0x0000000000000000	16384	4641	11743	20668408	828	173600	165756	1619064	3.11
2026-09-05T01:26:24Z	2835	10251	55	129.65	57	43	4626	12282	0x0000000000000000	16384	4641	11743	20661320	828	173600	166396	1619128	3.11
2026-09-05T01:26:25Z	2850	10251	49	147.58	2	3	4626	12282	0x0000000000000000	16384	4641	11743	20698672	828	173600	165936	1619128	3.11
2026-09-05T01:26:26Z	2850	10251	46	155.46	2	3	4626	12282	0x0000000000000000	16384	4641	11743	20679860	828	173600	166388	1619128	3.02
2026-09-05T01:26:27Z	2835	10251	50	145.15	87	75	4626	12282	0x0000000000000000	16384	4641	11743	20658912	828	173600	166440	1619128	3.02
2026-09-05T01:26:28Z	2835	10251	56	129.53	85	73	4626	12282	0x0000000000000000	16384	4641	11743	20665372	828	173600	166204	1619064	3.02
2026-09-05T01:26:29Z	2835	10251	55	129.54	64	49	4626	12282	0x0000000000000000	16384	4641	11743	20609092	828	173600	166440	1619128	3.02
2026-09-05T01:26:30Z	2835	10251	55	155.52	2	3	4626	12282	0x0000000000000000	16384	4641	11743	20593772	828	173600	166628	1619128	3.02
