level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	12.903	534.771	0.548741
1	subject	1	0	4	128	12.992	537.284	0.551308
1	control	2	0	4	128	12.987	535.802	0.549957
1	subject	2	0	4	128	12.879	537.167	0.551122
1	control	3	0	4	128	13.567	539.624	0.554246
1	subject	3	0	4	128	12.523	536.043	0.549606
1	control	4	0	4	128	12.366	533.864	0.547285
1	subject	4	0	4	128	12.524	536.055	0.549661
3	control	1	0	4	128	21.590	661.000	0.684151
3	control	1	1	4	128	17.007	660.896	0.684151
3	control	1	2	4	128	12.780	660.771	0.684151
3	subject	1	0	4	128	21.293	659.178	0.682212
3	subject	1	1	4	128	16.828	659.068	0.682212
3	subject	1	2	4	128	12.676	658.999	0.682212
3	control	2	0	4	128	21.684	655.717	0.678995
3	control	2	1	4	128	17.329	655.515	0.678995
3	control	2	2	4	128	13.274	655.284	0.678995
3	subject	2	0	4	128	23.120	660.839	0.685697
3	subject	2	1	4	128	18.070	660.736	0.685697
3	subject	2	2	4	128	12.765	660.663	0.685697
3	control	3	0	4	128	21.767	661.380	0.684766
3	control	3	1	4	128	17.268	661.202	0.684766
3	control	3	2	4	128	13.064	661.009	0.684766
3	subject	3	0	4	128	21.404	661.139	0.684184
3	subject	3	1	4	128	16.877	661.028	0.684184
3	subject	3	2	4	128	12.725	660.901	0.684184
3	control	4	0	4	128	21.652	663.632	0.686918
3	control	4	1	4	128	17.075	663.517	0.686918
3	control	4	2	4	128	12.852	663.377	0.686918
3	subject	4	0	4	128	23.821	655.462	0.680973
3	subject	4	1	4	128	18.894	655.349	0.680973
3	subject	4	2	4	128	14.548	655.212	0.680973
