request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
1	0	1	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	360448	host	CUDA_Host	0	3b24a6bf1624d7a6	99428fb0033c14c2	99428fb0033c14c2	yes	yes
2	51	2	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	3129d50ff2fe2a30	cf2fb94b1a1099d1	cf2fb94b1a1099d1	yes	yes
2	51	3	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	7916bef4806ee6ce	38ea6856b72dda1f	38ea6856b72dda1f	yes	yes
2	51	4	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	79af927f07ac50c5	ba06d7818e3a69f9	ba06d7818e3a69f9	yes	yes
2	51	5	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	4974d3ca9a91b3aa	caca178ecdc5cf8e	caca178ecdc5cf8e	yes	yes
2	51	6	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	e18c44b8f651eb71	d9eaf935d5792dd2	d9eaf935d5792dd2	yes	yes
2	51	7	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	8338359c28b2fb96	6339d25850a44ab5	6339d25850a44ab5	yes	yes
2	51	8	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	1	host	0	234	234	0	0	958464	host	CUDA_Host	0	691a0c8e49e35625	fa638d58a5116196	fa638d58a5116196	yes	yes
3	55	9	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	360448	host	CUDA_Host	0	3b24a6bf1624d7a6	99428fb0033c14c2	99428fb0033c14c2	yes	yes
4	745	10	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	3129d50ff2fe2a30	cf2fb94b1a1099d1	cf2fb94b1a1099d1	yes	yes
4	745	11	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	7916bef4806ee6ce	38ea6856b72dda1f	38ea6856b72dda1f	yes	yes
4	745	12	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	79af927f07ac50c5	ba06d7818e3a69f9	ba06d7818e3a69f9	yes	yes
4	745	13	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	4974d3ca9a91b3aa	caca178ecdc5cf8e	caca178ecdc5cf8e	yes	yes
4	745	14	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	5	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	e18c44b8f651eb71	d9eaf935d5792dd2	d9eaf935d5792dd2	yes	yes
4	745	15	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	6	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	8338359c28b2fb96	6339d25850a44ab5	6339d25850a44ab5	yes	yes
4	745	16	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	7	1	host	0	234	234	0	0	958464	host	CUDA_Host	0	691a0c8e49e35625	fa638d58a5116196	fa638d58a5116196	yes	yes
5	754	17	host	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	host	0	88	88	0	0	360448	host	CUDA_Host	0	3b24a6bf1624d7a6	99428fb0033c14c2	99428fb0033c14c2	yes	yes
6	1534	18	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	3129d50ff2fe2a30	cf2fb94b1a1099d1	cf2fb94b1a1099d1	yes	yes
6	1534	19	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	7916bef4806ee6ce	38ea6856b72dda1f	38ea6856b72dda1f	yes	yes
6	1534	20	host	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	1	host	0	256	256	0	0	1048576	host	CUDA_Host	0	79af927f07ac50c5	ba06d7818e3a69f9	ba06d7818e3a69f9	yes	yes
