graph_index	t_ns	mode	n_nodes	op	path	detail	src0_name	dst_name	src0_type	src1_type	dst_type	ne00	ne01	ne02	ne03	ne10	ne11	ne12	ne13	nb01	nb02	nb03	nb11	nb12	nb13	src0_contiguous	src1_contiguous	src0_transposed	batch_count	launches
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.3.attn_q.weight	Qcur_full-3	q4_K	f32	f32	4096	8192	1	1	4096	512	1	1	2304	18874368	18874368	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.3.attn_v.weight	Vcur-3	q6_K	f32	f32	4096	1024	1	1	4096	512	1	1	3360	3440640	3440640	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.3.ffn_down.weight	ffn_out-3	q6_K	f32	f32	12288	4096	1	1	12288	512	1	1	10080	41287680	41287680	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.3.ffn_gate.weight	ffn_gate-3	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.3.ffn_up.weight	ffn_up-3	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.attn_gate.weight	z-30	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.attn_qkv.weight	node_1819	q6_K	f32	f32	4096	8192	1	1	4096	512	1	1	3360	27525120	27525120	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.ffn_down.weight	ffn_out-30	q6_K	f32	f32	12288	4096	1	1	12288	512	1	1	10080	41287680	41287680	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.ffn_gate.weight	ffn_gate-30	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.ffn_up.weight	ffn_up-30	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.ssm_alpha.weight	node_1840	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.ssm_beta.weight	node_1846	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.30.ssm_out.weight	linear_attn_out-30	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.31.attn_k.weight	Kcur-31	q4_K	f32	f32	4096	1024	1	1	4096	512	1	1	2304	2359296	2359296	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.31.attn_output.weight	attn_output-31	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.31.attn_q.weight	Qcur_full-31	q4_K	f32	f32	4096	8192	1	1	4096	512	1	1	2304	18874368	18874368	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.31.attn_v.weight	Vcur-31	q6_K	f32	f32	4096	1024	1	1	4096	512	1	1	3360	3440640	3440640	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.31.ffn_down.weight	ffn_out-31	q6_K	f32	f32	12288	4096	1	1	12288	512	1	1	10080	41287680	41287680	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.31.ffn_gate.weight	ffn_gate-31	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.31.ffn_up.weight	ffn_up-31	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.attn_gate.weight	z-4	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.attn_qkv.weight	node_253	q4_K	f32	f32	4096	8192	1	1	4096	512	1	1	2304	18874368	18874368	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.ffn_down.weight	ffn_out-4	q4_K	f32	f32	12288	4096	1	1	12288	512	1	1	6912	28311552	28311552	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.ffn_gate.weight	ffn_gate-4	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.ffn_up.weight	ffn_up-4	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.ssm_alpha.weight	node_274	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.ssm_beta.weight	node_280	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.4.ssm_out.weight	linear_attn_out-4	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.attn_gate.weight	z-5	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
