utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T19:44:53Z	2835	10251	50	87.81	41	5	2287	12282	0x0000000000000000	16384	2305	14079	19357876	1536	174308	151528	932532	3.13
2026-09-01T19:44:54Z	2835	10251	49	61.71	54	5	2486	12282	0x0000000000000000	16384	2504	13880	19658040	1536	174308	153280	932284	3.13
2026-09-01T19:44:55Z	2835	10251	49	57.96	47	5	2486	12282	0x0000000000000000	16384	2504	13880	19809756	1536	174308	153896	931824	3.13
2026-09-01T19:44:56Z	2835	10251	49	57.06	48	5	2486	12282	0x0000000000000000	16384	2504	13880	19842108	1536	174308	154192	931528	3.28
2026-09-01T19:44:57Z	2835	10251	49	56.97	48	5	2486	12282	0x0000000000000000	16384	2504	13880	19867764	1536	174308	154808	931100	3.28
2026-09-01T19:44:58Z	2835	10251	49	57.72	50	5	2486	12282	0x0000000000000000	16384	2504	13880	19895036	1536	174308	155868	930980	3.28
2026-09-01T19:44:59Z	2835	10251	49	59.22	48	5	2486	12282	0x0000000000000000	16384	2504	13880	20035452	1536	174308	156076	930772	3.28
2026-09-01T19:45:00Z	2835	10251	49	57.31	48	5	2486	12282	0x0000000000000000	16384	2504	13880	20208856	1536	174308	156228	930540	3.26
2026-09-01T19:45:01Z	2835	10251	49	57.17	48	5	2486	12282	0x0000000000000000	16384	2504	13880	20353620	1536	174308	156640	930352	3.26
2026-09-01T19:45:02Z	2835	10251	49	58.31	49	5	2486	12282	0x0000000000000000	16384	2504	13880	20426752	1536	174308	157132	929964	3.26
2026-09-01T19:45:03Z	2835	10251	49	57.57	46	4	2486	12282	0x0000000000000000	16384	2504	13880	20509476	1536	174308	157380	929884	3.26
2026-09-01T19:45:04Z	2835	10251	49	57.30	51	5	5090	12282	0x0000000000000000	16384	5108	11276	20692604	1536	174308	157696	929964	3.26
2026-09-01T19:45:06Z	2835	10251	49	58.52	58	5	5980	12282	0x0000000000000000	16384	5998	10386	20256496	1536	174308	152348	930092	3.48
2026-09-01T19:45:07Z	2835	10251	49	58.35	51	5	5980	12282	0x0000000000000000	16384	5998	10386	20194508	1536	174308	152544	930120	3.48
2026-09-01T19:45:08Z	2835	10251	49	57.53	48	5	5980	12282	0x0000000000000000	16384	5998	10386	20209704	1536	174308	152316	930152	3.48
2026-09-01T19:45:09Z	2835	10251	49	57.80	49	5	5980	12282	0x0000000000000000	16384	5998	10386	20204428	1536	174308	152380	930224	3.48
2026-09-01T19:45:10Z	2835	10251	49	58.04	50	5	5980	12282	0x0000000000000000	16384	5998	10386	20195440	1536	174308	152024	930308	3.48
2026-09-01T19:45:11Z	2835	10251	49	58.35	50	5	5980	12282	0x0000000000000000	16384	5998	10386	20193388	1536	174308	151908	930212	3.44
2026-09-01T19:45:12Z	2835	10251	49	57.53	49	5	5982	12282	0x0000000000000000	16384	6020	10364	20259672	1536	174308	151852	930236	3.44
2026-09-01T19:45:13Z	2835	10251	50	82.82	99	89	6040	12282	0x0000000000000000	16384	6058	10326	20142868	1536	174308	152144	930268	3.44
2026-09-01T19:45:14Z	2835	10251	52	131.72	85	43	2524	12282	0x0000000000000000	16384	2542	13842	20055444	1536	174308	152060	930124	3.44
2026-09-01T19:45:15Z	2835	10251	50	101.61	46	5	2524	12282	0x0000000000000000	16384	2542	13842	19957352	1536	174308	151996	930124	3.57
2026-09-01T19:45:16Z	2835	10251	50	59.29	50	5	2524	12282	0x0000000000000000	16384	2542	13842	19914020	1536	174308	152428	930132	3.57
2026-09-01T19:45:17Z	2835	10251	50	57.78	46	4	2522	12282	0x0000000000000000	16384	2540	13844	19851320	1536	174308	151896	930116	3.57
