level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	12.193	519.920	0.533190
1	subject	1	0	4	128	12.196	522.161	0.535486
1	control	2	0	4	128	11.907	519.891	0.532913
1	subject	2	0	4	128	11.853	519.911	0.532897
1	control	3	0	4	128	11.700	519.926	0.532719
1	subject	3	0	4	128	11.607	519.505	0.532221
1	control	4	0	4	128	11.654	519.968	0.532699
1	subject	4	0	4	128	12.066	519.584	0.532665
3	control	1	0	4	128	21.183	641.607	0.664333
3	control	1	1	4	128	16.757	641.504	0.664333
3	control	1	2	4	128	12.602	641.385	0.664333
3	subject	1	0	4	128	20.991	642.087	0.664668
3	subject	1	1	4	128	16.588	641.982	0.664668
3	subject	1	2	4	128	12.531	641.849	0.664668
3	control	2	0	4	128	21.448	641.553	0.664567
3	control	2	1	4	128	16.689	641.455	0.664567
3	control	2	2	4	128	12.585	641.332	0.664567
3	subject	2	0	4	128	21.406	641.847	0.664869
3	subject	2	1	4	128	16.622	641.761	0.664869
3	subject	2	2	4	128	12.557	641.629	0.664869
3	control	3	0	4	128	21.099	643.039	0.665726
3	control	3	1	4	128	16.669	642.944	0.665726
3	control	3	2	4	128	12.565	642.835	0.665726
3	subject	3	0	4	128	20.994	642.131	0.664673
3	subject	3	1	4	128	16.597	642.031	0.664673
3	subject	3	2	4	128	12.526	641.913	0.664673
3	control	4	0	4	128	21.096	641.233	0.663972
3	control	4	1	4	128	16.683	641.132	0.663972
3	control	4	2	4	128	12.572	641.006	0.663972
3	subject	4	0	4	128	20.831	641.606	0.664079
3	subject	4	1	4	128	16.524	641.505	0.664079
3	subject	4	2	4	128	12.500	641.435	0.664079
