1789965086.533190416	free	kwin_wayland 173 MiB
1789965086.533190416	free	Discord 904 MiB
1789965086.533190416	free	msedge 161 MiB
1789965086.533190416	free	tick
1789965086.653755465	held	kwin_wayland 173 MiB
1789965086.653755465	held	Discord 904 MiB
1789965086.653755465	held	msedge 161 MiB
1789965086.653755465	held	physx-rigid-runtime 10 MiB
1789965086.653755465	held	tick
1789965086.778618933	held	kwin_wayland 173 MiB
1789965086.778618933	held	Discord 904 MiB
1789965086.778618933	held	msedge 161 MiB
1789965086.778618933	held	physx-rigid-runtime 196 MiB
1789965086.778618933	held	tick
1789965086.896269308	held	kwin_wayland 173 MiB
1789965086.896269308	held	Discord 904 MiB
1789965086.896269308	held	msedge 161 MiB
1789965086.896269308	held	physx-rigid-runtime 214 MiB
1789965086.896269308	held	tick
1789965087.014116922	held	kwin_wayland 173 MiB
1789965087.014116922	held	Discord 904 MiB
1789965087.014116922	held	msedge 161 MiB
1789965087.014116922	held	physx-rigid-runtime 288 MiB
1789965087.014116922	held	tick
1789965087.131763840	held	kwin_wayland 173 MiB
1789965087.131763840	held	Discord 904 MiB
1789965087.131763840	held	msedge 161 MiB
1789965087.131763840	held	physx-rigid-runtime 288 MiB
1789965087.131763840	held	tick
1789965087.248995379	held	kwin_wayland 173 MiB
1789965087.248995379	held	Discord 904 MiB
1789965087.248995379	held	msedge 161 MiB
1789965087.248995379	held	physx-rigid-runtime 288 MiB
1789965087.248995379	held	tick
1789965087.366318781	held	kwin_wayland 173 MiB
1789965087.366318781	held	Discord 904 MiB
1789965087.366318781	held	msedge 161 MiB
1789965087.366318781	held	physx-rigid-runtime 288 MiB
1789965087.366318781	held	tick
1789965087.484774195	held	kwin_wayland 173 MiB
1789965087.484774195	held	Discord 904 MiB
1789965087.484774195	held	msedge 161 MiB
1789965087.484774195	held	physx-rigid-runtime 288 MiB
1789965087.484774195	held	tick
1789965087.601912229	held	kwin_wayland 173 MiB
1789965087.601912229	held	Discord 904 MiB
1789965087.601912229	held	msedge 161 MiB
1789965087.601912229	held	physx-rigid-runtime 288 MiB
1789965087.601912229	held	tick
1789965087.720390857	held	kwin_wayland 173 MiB
1789965087.720390857	held	Discord 904 MiB
1789965087.720390857	held	msedge 161 MiB
1789965087.720390857	held	physx-rigid-runtime 288 MiB
1789965087.720390857	held	tick
1789965087.840002859	held	kwin_wayland 173 MiB
1789965087.840002859	held	Discord 904 MiB
1789965087.840002859	held	msedge 161 MiB
1789965087.840002859	held	physx-rigid-runtime 288 MiB
1789965087.840002859	held	tick
1789965087.957869289	held	kwin_wayland 173 MiB
1789965087.957869289	held	Discord 904 MiB
1789965087.957869289	held	msedge 161 MiB
1789965087.957869289	held	physx-rigid-runtime 288 MiB
1789965087.957869289	held	tick
1789965088.075445956	held	kwin_wayland 173 MiB
1789965088.075445956	held	Discord 904 MiB
1789965088.075445956	held	msedge 161 MiB
1789965088.075445956	held	physx-rigid-runtime 288 MiB
1789965088.075445956	held	tick
1789965088.194635587	held	kwin_wayland 173 MiB
1789965088.194635587	held	Discord 904 MiB
1789965088.194635587	held	msedge 161 MiB
1789965088.194635587	held	physx-rigid-runtime 288 MiB
1789965088.194635587	held	tick
1789965088.311559951	held	kwin_wayland 173 MiB
1789965088.311559951	held	Discord 904 MiB
1789965088.311559951	held	msedge 161 MiB
1789965088.311559951	held	physx-rigid-runtime 288 MiB
1789965088.311559951	held	tick
1789965088.428812380	held	kwin_wayland 173 MiB
1789965088.428812380	held	Discord 904 MiB
1789965088.428812380	held	msedge 161 MiB
1789965088.428812380	held	physx-rigid-runtime 288 MiB
1789965088.428812380	held	tick
1789965088.545932531	free	kwin_wayland 173 MiB
1789965088.545932531	free	Discord 904 MiB
1789965088.545932531	free	msedge 161 MiB
