utc	fb_used_mib	bar1_used_mib
2026-08-31T08:31:26Z	1247	1256
2026-08-31T08:31:26Z	1287	1297
2026-08-31T08:31:26Z	1471	1482
2026-08-31T08:31:26Z	1471	1482
2026-08-31T08:31:27Z	1465	1476
2026-08-31T08:31:27Z	1465	1476
2026-08-31T08:31:27Z	1465	1476
2026-08-31T08:31:27Z	1465	1476
2026-08-31T08:31:28Z	1465	1476
2026-08-31T08:31:28Z	2161	2172
2026-08-31T08:31:28Z	2711	2722
2026-08-31T08:31:28Z	2711	2722
2026-08-31T08:31:29Z	2711	2722
2026-08-31T08:31:29Z	2716	2730
2026-08-31T08:31:29Z	2936	2947
2026-08-31T08:31:29Z	2930	2941
2026-08-31T08:31:30Z	2930	2941
2026-08-31T08:31:30Z	2439	2449
2026-08-31T08:31:30Z	2247	2266
2026-08-31T08:31:30Z	3190	3201
2026-08-31T08:31:31Z	2571	2358
2026-08-31T08:31:31Z	2388	2577
2026-08-31T08:31:31Z	2566	2577
2026-08-31T08:31:31Z	2566	2577
2026-08-31T08:31:32Z	2566	2577
2026-08-31T08:31:32Z	2566	2577
2026-08-31T08:31:32Z	2566	2577
2026-08-31T08:31:32Z	2566	2577
2026-08-31T08:31:32Z	3062	3623
2026-08-31T08:31:33Z	4330	4341
2026-08-31T08:31:33Z	4330	4341
2026-08-31T08:31:33Z	4330	4341
2026-08-31T08:31:33Z	4330	4341
2026-08-31T08:31:34Z	4330	4341
2026-08-31T08:31:34Z	4330	4341
2026-08-31T08:31:34Z	4330	4341
2026-08-31T08:31:34Z	4330	4341
2026-08-31T08:31:35Z	4330	4341
2026-08-31T08:31:35Z	4330	4341
2026-08-31T08:31:35Z	4330	4341
2026-08-31T08:31:35Z	4330	4341
2026-08-31T08:31:36Z	4330	4341
2026-08-31T08:31:36Z	4330	4341
2026-08-31T08:31:36Z	4330	4341
2026-08-31T08:31:36Z	4330	4341
2026-08-31T08:31:37Z	4330	4341
2026-08-31T08:31:37Z	4330	4341
