phase	width	pair	position	closure	settle_waited_s	settle_power_w	settle_temperature_c	settle_clocks_sm_mhz	settle_utilization_gpu	pp_tok_s	tg_tok_s	status	pp_cold_tok_s	tg_cold_tok_s
opening-control	17	1	1	build-appliance-current	0	-	-	-	-	2935.89	269.95	ok	1110.06	256.59
opening-control	17	2	1	build-appliance-current	0	-	-	-	-	3258.13	267.76	ok	1161.79	251.50
opening-control	17	3	1	build-appliance-current	0	-	-	-	-	3417.74	281.13	ok	1141.02	269.26
paired	17	1	1	build-appliance-current	0	57.96	48	2835	50	3037.88	282.32	ok	1258.97	261.56
paired	17	1	2	build-qwen-cuda-8680bc95e989	1	71.14	48	2835	51	3748.10	293.04	ok	1341.47	273.20
paired	17	2	1	build-qwen-cuda-8680bc95e989	1	57.97	48	2835	51	3729.15	282.88	ok	1656.31	277.85
paired	17	2	2	build-appliance-current	1	68.20	48	2835	50	2951.81	292.58	ok	1156.20	264.02
paired	17	3	1	build-appliance-current	1	58.34	49	2835	50	3299.41	276.95	ok	1119.31	269.20
paired	17	3	2	build-qwen-cuda-8680bc95e989	1	61.56	49	2835	50	3707.10	267.17	ok	1653.65	214.30
paired	17	4	1	build-qwen-cuda-8680bc95e989	1	57.94	49	2835	42	3972.77	282.78	ok	1366.33	273.29
paired	17	4	2	build-appliance-current	1	68.13	49	2835	50	3228.01	288.21	ok	1299.73	268.39
paired	17	5	1	build-appliance-current	2	58.16	49	2835	49	3400.02	282.89	ok	1074.91	275.66
paired	17	5	2	build-qwen-cuda-8680bc95e989	1	68.53	49	2835	50	3801.34	281.73	ok	1498.31	271.79
paired	17	6	1	build-qwen-cuda-8680bc95e989	0	61.68	50	2835	58	4038.08	278.66	ok	1464.67	273.06
paired	17	6	2	build-appliance-current	1	59.47	49	2835	50	3514.82	281.23	ok	1284.92	276.71
paired	17	7	1	build-appliance-current	0	60.51	50	2835	59	3573.46	287.15	ok	1331.07	280.44
paired	17	7	2	build-qwen-cuda-8680bc95e989	1	59.31	49	2835	51	3893.21	293.56	ok	1369.36	274.98
paired	17	8	1	build-qwen-cuda-8680bc95e989	1	70.75	50	2835	49	3720.71	271.71	ok	1249.65	264.62
paired	17	8	2	build-appliance-current	0	61.61	50	2835	61	3467.32	294.99	ok	1268.06	265.91
paired	17	9	1	build-appliance-current	1	58.67	50	2835	49	3266.58	287.27	ok	1244.30	282.04
paired	17	9	2	build-qwen-cuda-8680bc95e989	1	70.41	50	2835	46	3342.47	263.86	ok	1484.30	275.41
paired	17	10	1	build-qwen-cuda-8680bc95e989	1	59.13	50	2835	50	3807.24	284.70	ok	1377.48	272.39
paired	17	10	2	build-appliance-current	2	58.78	50	2835	51	3159.25	295.16	ok	1196.64	272.29
paired	18	1	1	build-appliance-current	0	59.54	50	2835	59	3427.58	273.47	ok	1306.55	252.11
paired	18	1	2	build-qwen-cuda-8680bc95e989	1	62.63	50	2835	50	3887.40	292.51	ok	1691.57	268.36
paired	18	2	1	build-qwen-cuda-8680bc95e989	0	60.90	50	2835	59	3747.58	265.53	ok	1250.53	258.49
paired	18	2	2	build-appliance-current	2	57.50	50	2835	48	3085.63	272.59	ok	1290.27	256.96
paired	18	3	1	build-appliance-current	2	60.13	50	2835	49	3210.06	271.98	ok	1179.37	246.83
paired	18	3	2	build-qwen-cuda-8680bc95e989	1	58.15	50	2835	49	3736.08	288.29	ok	1150.64	264.28
paired	18	4	1	build-qwen-cuda-8680bc95e989	1	72.46	50	2835	49	3894.30	280.18	ok	1514.34	282.44
paired	18	4	2	build-appliance-current	1	59.01	50	2835	48	3524.94	270.97	ok	1063.12	277.83
paired	18	5	1	build-appliance-current	1	71.73	50	2835	49	3245.68	271.31	ok	1166.99	273.07
paired	18	5	2	build-qwen-cuda-8680bc95e989	1	59.89	50	2835	50	3698.28	282.27	ok	1324.59	266.34
paired	18	6	1	build-qwen-cuda-8680bc95e989	2	59.65	50	2835	50	3819.80	282.43	ok	1547.94	282.55
paired	18	6	2	build-appliance-current	1	64.74	49	2835	51	3612.53	295.36	ok	1431.41	287.39
paired	18	7	1	build-appliance-current	0	61.97	50	2835	62	3475.30	289.64	ok	1160.95	255.23
paired	18	7	2	build-qwen-cuda-8680bc95e989	1	60.04	49	2835	52	3812.92	288.70	ok	1521.06	259.61
paired	18	8	1	build-qwen-cuda-8680bc95e989	2	59.12	49	2835	50	3665.98	281.71	ok	1393.61	277.32
paired	18	8	2	build-appliance-current	2	58.29	49	2835	47	3362.90	287.67	ok	1015.45	265.68
paired	18	9	1	build-appliance-current	1	62.69	49	2835	50	3208.09	274.93	ok	1136.12	262.10
paired	18	9	2	build-qwen-cuda-8680bc95e989	0	63.14	49	2835	64	3923.35	282.88	ok	1556.88	270.37
paired	18	10	1	build-qwen-cuda-8680bc95e989	1	61.71	49	2835	50	3830.94	282.51	ok	1377.57	265.09
paired	18	10	2	build-appliance-current	1	58.32	48	2835	50	3335.50	271.75	ok	1238.20	273.64
paired	19	1	1	build-appliance-current	2	57.47	49	2835	52	3540.61	275.76	ok	1465.82	275.50
paired	19	1	2	build-qwen-cuda-8680bc95e989	1	59.13	49	2835	53	3961.27	284.75	ok	1566.21	271.50
paired	19	2	1	build-qwen-cuda-8680bc95e989	2	58.27	49	2835	52	3911.80	292.62	ok	1369.95	259.33
paired	19	2	2	build-appliance-current	1	62.76	49	2835	50	3639.16	283.47	ok	1118.52	251.53
paired	19	3	1	build-appliance-current	0	61.01	50	2835	63	3862.82	277.70	ok	1353.81	264.30
paired	19	3	2	build-qwen-cuda-8680bc95e989	1	58.45	49	2835	49	3965.50	278.87	ok	1680.14	290.23
paired	19	4	1	build-qwen-cuda-8680bc95e989	2	57.60	49	2835	48	3899.31	286.64	ok	1252.48	280.52
paired	19	4	2	build-appliance-current	1	62.98	49	2835	51	3485.55	277.98	ok	1196.45	271.58
paired	19	5	1	build-appliance-current	1	58.18	49	2835	50	3763.74	293.27	ok	1482.18	282.98
paired	19	5	2	build-qwen-cuda-8680bc95e989	1	63.76	50	2835	44	4141.03	283.64	ok	1798.11	279.53
paired	19	6	1	build-qwen-cuda-8680bc95e989	1	58.12	50	2835	49	3682.30	273.74	ok	1513.78	270.79
paired	19	6	2	build-appliance-current	1	58.34	50	2835	49	3811.37	286.34	ok	1518.13	273.61
paired	19	7	1	build-appliance-current	1	59.17	50	2835	51	3447.64	284.33	ok	1415.16	271.77
paired	19	7	2	build-qwen-cuda-8680bc95e989	1	73.64	50	2835	50	3684.46	272.25	ok	1806.20	257.58
paired	19	8	1	build-qwen-cuda-8680bc95e989	1	58.58	50	2835	50	4234.65	273.07	ok	1668.19	284.22
paired	19	8	2	build-appliance-current	1	69.51	50	2835	51	3776.18	290.44	ok	1142.16	281.28
paired	19	9	1	build-appliance-current	1	58.06	50	2835	49	3543.18	283.57	ok	1277.85	248.85
paired	19	9	2	build-qwen-cuda-8680bc95e989	2	57.83	50	2835	48	3735.89	278.75	ok	1608.23	262.94
paired	19	10	1	build-qwen-cuda-8680bc95e989	1	61.04	50	2835	47	3791.45	294.22	ok	1738.93	279.21
paired	19	10	2	build-appliance-current	1	66.86	50	2835	52	3248.75	278.51	ok	767.94	278.29
paired	20	1	1	build-appliance-current	1	57.96	50	2835	47	3568.32	270.40	ok	1248.90	254.48
paired	20	1	2	build-qwen-cuda-8680bc95e989	1	61.04	50	2835	49	3911.26	284.19	ok	1766.45	273.31
paired	20	2	1	build-qwen-cuda-8680bc95e989	1	59.48	50	2835	49	3873.79	285.94	ok	1489.14	281.63
paired	20	2	2	build-appliance-current	1	59.94	50	2835	54	3634.79	277.23	ok	1401.17	261.22
paired	20	3	1	build-appliance-current	1	58.30	49	2835	48	3857.62	283.58	ok	1657.65	252.89
paired	20	3	2	build-qwen-cuda-8680bc95e989	1	64.46	49	2835	53	3687.94	285.46	ok	1367.91	276.87
paired	20	4	1	build-qwen-cuda-8680bc95e989	1	59.10	49	2835	51	3821.50	286.05	ok	1792.63	263.19
paired	20	4	2	build-appliance-current	1	57.81	49	2835	51	3640.23	277.17	ok	1513.40	254.57
paired	20	5	1	build-appliance-current	1	66.96	49	2835	48	3964.61	281.48	ok	1470.56	265.24
paired	20	5	2	build-qwen-cuda-8680bc95e989	1	58.55	49	2835	49	3410.83	278.37	ok	1565.29	280.63
paired	20	6	1	build-qwen-cuda-8680bc95e989	1	67.21	49	2835	49	3956.50	261.23	ok	1648.22	262.47
paired	20	6	2	build-appliance-current	1	58.10	49	2835	48	3746.51	276.86	ok	1147.90	264.79
paired	20	7	1	build-appliance-current	1	61.41	49	2835	46	3839.17	272.25	ok	1289.88	264.07
paired	20	7	2	build-qwen-cuda-8680bc95e989	1	59.46	49	2835	49	4295.29	274.45	ok	1395.58	262.96
paired	20	8	1	build-qwen-cuda-8680bc95e989	1	67.68	49	2835	46	3804.03	272.52	ok	1561.86	246.00
paired	20	8	2	build-appliance-current	1	72.54	49	2835	49	3656.96	264.33	ok	1186.24	234.04
paired	20	9	1	build-appliance-current	1	57.99	49	2835	49	3674.10	275.41	ok	1280.76	251.66
paired	20	9	2	build-qwen-cuda-8680bc95e989	1	73.16	49	2835	51	3957.28	283.00	ok	1484.18	257.88
paired	20	10	1	build-qwen-cuda-8680bc95e989	1	57.47	49	2835	46	3635.39	242.57	ok	1532.21	262.15
paired	20	10	2	build-appliance-current	1	57.44	49	2835	49	3907.98	269.22	ok	1279.10	255.97
closing-control	17	1	1	build-appliance-current	1	69.64	50	2835	51	3282.49	259.74	ok	1063.68	243.40
closing-control	17	2	1	build-appliance-current	1	70.45	50	2835	51	3359.40	282.69	ok	1195.28	274.25
closing-control	17	3	1	build-appliance-current	1	62.02	50	2835	50	3192.74	266.28	ok	1126.04	246.10
