model	file	prompt_tokens	completion_tokens	finish	reasoning_chars	content_chars	wall_s	tool_call
qwen38-4b-distill	sys/arch/rp2040/dev/flash_swap.c	1120	414	stop	694	1240	3	yes
qwen38-4b-distill	bin/cat/cat.c	1644	443	stop	740	1046	4	yes
qwen38-4b-distill	sys/arch/rp2040/dev/usb.c	13063	1035	stop	1185	2698	11	yes
qwen38-2b-distill	sys/arch/rp2040/dev/flash_swap.c	1120	917	stop	464	2458	4	no
qwen38-2b-distill	bin/cat/cat.c	1644	500	stop	295	1690	2	no
qwen38-2b-distill	sys/arch/rp2040/dev/usb.c	13063	2008	stop	336	7338	10	no
qwen35-4b-base	sys/arch/rp2040/dev/flash_swap.c	1120	3003	stop	11325	1178	25	yes
qwen35-4b-base	bin/cat/cat.c	1644	8527	stop	24875	1457	73	yes
qwen35-4b-base	sys/arch/rp2040/dev/usb.c	13063	2937	stop	8706	2299	28	yes
qwen38-9b-distill	sys/arch/rp2040/dev/flash_swap.c	1120	481	stop	539	1499	7	yes
qwen38-9b-distill	bin/cat/cat.c	1644	661	stop	746	1786	9	yes
qwen38-9b-distill	sys/arch/rp2040/dev/usb.c	13063	785	stop	1069	1994	14	yes
qwen38-4b-i1-q2k	sys/arch/rp2040/dev/flash_swap.c	1120	282	stop	388	913	2	yes
qwen38-4b-i1-q2k	bin/cat/cat.c	1644	399	stop	335	1307	3	yes
qwen38-4b-i1-q2k	sys/arch/rp2040/dev/usb.c	13063	19705	length	560	70791	151	yes
qwen38-4b-i1-q5km	sys/arch/rp2040/dev/flash_swap.c	1120	543	stop	983	1376	5	yes
qwen38-4b-i1-q5km	bin/cat/cat.c	1644	420	stop	273	1492	4	yes
qwen38-4b-i1-q5km	sys/arch/rp2040/dev/usb.c	13063	780	stop	1087	1839	9	yes
qwen38-4b-i1-q6k	sys/arch/rp2040/dev/flash_swap.c	1120	632	stop	1070	1639	6	yes
qwen38-4b-i1-q6k	bin/cat/cat.c	1644	323	stop	273	1087	4	yes
qwen38-4b-i1-q6k	sys/arch/rp2040/dev/usb.c	13063	782	stop	290	2688	10	yes
qwen35-08b	sys/arch/rp2040/dev/flash_swap.c	1120	8676	stop	29979	1978	28	yes
qwen35-08b	bin/cat/cat.c	1644	31124	length	30237	90773	108	yes
qwen35-08b	sys/arch/rp2040/dev/usb.c	13063	9048	stop	23015	2586	31	yes
qwen35-2b	sys/arch/rp2040/dev/flash_swap.c	1120	2702	stop	9440	1570	12	yes
qwen35-2b	bin/cat/cat.c	1644	8494	stop	26814	1278	37	yes
qwen35-2b	sys/arch/rp2040/dev/usb.c	13063	9552	stop	24146	5309	45	yes
lfm25-vl-16b	sys/arch/rp2040/dev/flash_swap.c	1247	535	stop	1	2103	1	yes
lfm25-vl-16b	bin/cat/cat.c	1579	691	stop	1	2495	2	yes
lfm25-vl-16b	sys/arch/rp2040/dev/usb.c	14062	18706	length	1	91474	50	yes
qwen35-08b-f16	sys/arch/rp2040/dev/flash_swap.c	1120	8497	stop	36477	1286	40	yes
qwen35-08b-f16	bin/cat/cat.c	1644	8457	stop	27129	1116	39	yes
qwen35-08b-f16	sys/arch/rp2040/dev/usb.c	13063	9187	stop	29075	3160	46	yes
qwen38-2b-uncensored	sys/arch/rp2040/dev/flash_swap.c	1120	1041	stop	477	4296	5	no
qwen38-2b-uncensored	bin/cat/cat.c	1644	631	stop	351	2122	2	no
qwen38-2b-uncensored	sys/arch/rp2040/dev/usb.c	13063	862	stop	340	2796	5	no
qwen35-2b-hauhau	sys/arch/rp2040/dev/flash_swap.c	1120	1722	stop	5691	1524	7	yes
qwen35-2b-hauhau	bin/cat/cat.c	1644	1854	stop	5188	2143	8	yes
qwen35-2b-hauhau	sys/arch/rp2040/dev/usb.c	13063	9321	stop	25461	4281	43	yes
qwen35-2b-unredacted	sys/arch/rp2040/dev/flash_swap.c	1120	3349	stop	11193	2434	14	yes
qwen35-2b-unredacted	bin/cat/cat.c	1644	1813	stop	5154	1803	7	yes
qwen35-2b-unredacted	sys/arch/rp2040/dev/usb.c	13063	19705	length	26256	43259	92	yes
qwen35-2b-heretic	sys/arch/rp2040/dev/flash_swap.c	1120	1652	stop	3749	2601	7	yes
qwen35-2b-heretic	bin/cat/cat.c	1644	1223	stop	2745	2035	6	yes
qwen35-2b-heretic	sys/arch/rp2040/dev/usb.c	13063	9061	stop	29330	3457	42	yes
qwen35-08b-unsloth-unc	sys/arch/rp2040/dev/flash_swap.c	1120	1043	stop	1	3557	3	yes
qwen35-08b-unsloth-unc	bin/cat/cat.c	1644	31124	length	1	92121	93	yes
qwen35-08b-unsloth-unc	sys/arch/rp2040/dev/usb.c	13063	19705	length	36017	61486	62	yes
qwenseer-2b	sys/arch/rp2040/dev/flash_swap.c	1120	1405	stop	3782	2657	6	yes
qwenseer-2b	bin/cat/cat.c	1644	1344	stop	4443	1615	6	yes
qwenseer-2b	sys/arch/rp2040/dev/usb.c	13063	2823	stop	7023	4462	14	yes
minicpm-v-46	sys/arch/rp2040/dev/flash_swap.c	1120	476	stop	1381	836	1	no
minicpm-v-46	bin/cat/cat.c	1644	291	stop	802	551	1	no
minicpm-v-46	sys/arch/rp2040/dev/usb.c	13063	700	stop	1907	1064	3	no
minicpm5-1b	sys/arch/rp2040/dev/flash_swap.c	1174	8194	stop	37391	1	23	no
minicpm5-1b	bin/cat/cat.c	1553	8194	stop	41624	1	24	no
minicpm5-1b	sys/arch/rp2040/dev/usb.c	13523	19245	length	33825	53111	83	no
minicpm5-1b-fable5-v2	sys/arch/rp2040/dev/flash_swap.c	1174	628	stop	1627	1069	2	yes
minicpm5-1b-fable5-v2	bin/cat/cat.c	1553	31215	length	35565	100083	150	yes
minicpm5-1b-fable5-v2	sys/arch/rp2040/dev/usb.c	13505	19263	length	36973	50894	96	yes
lfm25-12b-thinking	sys/arch/rp2040/dev/flash_swap.c	1247	500	stop	1	2313	2	no
lfm25-12b-thinking	bin/cat/cat.c	1579	504	stop	1	2408	1	no
lfm25-12b-thinking	sys/arch/rp2040/dev/usb.c	14062	3	stop	1	11	0	no
lfm25-vl-450m	sys/arch/rp2040/dev/flash_swap.c	1247	270	stop	1	1202	0	yes
lfm25-vl-450m	bin/cat/cat.c	1579	31189	length	1	124557	48	yes
lfm25-vl-450m	sys/arch/rp2040/dev/usb.c	14062	1502	stop	1	5577	3	yes
lfm25-350m-qad	sys/arch/rp2040/dev/flash_swap.c	1247	104	stop	1	576	0	yes
lfm25-350m-qad	bin/cat/cat.c	1579	147	stop	1	666	0	yes
lfm25-350m-qad	sys/arch/rp2040/dev/usb.c	14062	1168	stop	1	4456	2	yes
qwen25-coder-7b	sys/arch/rp2040/dev/flash_swap.c	1022	308	stop	1	1449	4	no
qwen25-coder-7b	bin/cat/cat.c	1446	548	stop	1	2433	7	no
qwen25-coder-7b	sys/arch/rp2040/dev/usb.c	12199	943	stop	1	4055	15	no
