token	span_ns	device_busy_ns	device_idle_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	6857380	57121	6800259	6777658	6506771	79722
1	6112622	57665	6054957	6019597	5734873	93025
2	6918906	57441	6861465	6847081	6554773	71825
3	7240920	56928	7183992	6835819	6557977	405101
4	6929425	56704	6872721	6851152	6573479	78273
5	6785506	56897	6728609	6648711	6347687	136795
6	7122257	56480	7065777	7053205	6772160	69052
7	7042247	56736	6985511	6977228	6705327	65019
8	6099889	57152	6042737	6037850	5775847	62039
9	7006620	56736	6949884	6933936	6668798	72684
10	6931199	56640	6874559	6863056	6587256	68143
11	7939290	56928	7882362	7860383	7584976	78907
12	8094723	57345	8037378	8027891	7730089	66832
13	6066325	57152	6009173	6009808	5751194	56517
14	6567517	56992	6510525	6512545	6267073	54972
15	8230327	56832	8173495	8172365	6891772	57962
16	6969941	56672	6913269	6909440	6647126	60501
17	7027389	57409	6969980	6952940	6680239	74449
18	7063317	57088	7006229	6989318	6699312	73999
19	6810362	57057	6753305	6734620	6436370	75742
20	6621467	56832	6564635	6553390	6266523	68077
21	6440839	56832	6384007	6374467	6086136	66372
22	6831371	56960	6774411	6772973	6509988	58398
23	6946808	57152	6889656	6891934	6654528	54874
24	6803379	57536	6745843	6735298	6515375	68081
25	6967487	56768	6910719	6890647	6609488	76840
26	6943341	56608	6886733	6890394	6608936	52947
27	6909589	62880	6846709	6847074	6648851	62515
28	6893758	62720	6831038	6828125	6555414	65633
29	7016188	56833	6959355	6955727	6685622	60461
30	5431835	56096	5375739	5370434	5117937	61401
31	5332047	56064	5275983	5270943	3994166	61104
32	3992484	56033	3936451	3935808	3676110	56676
33	4056483	56160	4000323	4000110	3755780	56373
34	3182483	56064	3126419	3121698	2862811	60785
35	3813066	56032	3757034	3758641	3501971	54425
36	3156715	56225	3100490	3097001	2849406	59714
37	3841961	56480	3785481	3786324	3535804	55637
38	3161774	56096	3105678	3103999	2848178	57775
39	3523303	56418	3466885	3421993	3151956	101310
40	3212208	55968	3156240	3150342	2854547	61866
41	3447591	55936	3391655	3386647	3123883	60944
42	3618511	56832	3561679	3556766	3295465	61745
43	3982765	56128	3926637	3927283	3678186	55482
44	4056454	56384	4000070	4001177	3751932	55277
45	3950214	56320	3893894	3892174	3640481	58040
46	4063166	56128	4007038	4005425	3746508	57741
47	3931438	56032	3875406	3875563	3619482	55875
48	4002713	56160	3946553	3947128	3696176	55585
49	3152867	56448	3096419	3096508	2852942	56359
50	3871206	56064	3815142	3808357	3545634	62849
51	3978006	56000	3922006	3919878	3653928	58128
52	3445296	55936	3389360	3389930	3082676	55366
53	3143871	56160	3087711	3087944	2839907	55927
54	3415219	55937	3359282	3357763	3104978	57456
55	3174218	66336	3107882	3110668	2855166	63550
56	3879180	56256	3822924	3822925	3566424	56255
57	8009443	56128	7953315	7949222	7693690	60221
58	8993239	56544	8936695	8933115	8683477	60124
59	3956075	56161	3899914	3892408	3630055	63667
