token	span_ns	device_busy_ns	device_idle_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	5397360	2987109	2410251	5315708	3109257	81652
1	5433317	3083398	2349919	5367805	3197083	65512
2	5192075	3087368	2104707	5128164	3155603	63911
3	4951523	2844455	2107068	4893425	2963271	58098
4	4166951	3127877	1039074	4104924	3252213	62027
5	5178449	2832233	2346216	5113024	3276668	65425
6	3885723	2863337	1022386	3825596	2935434	60127
7	4218768	3108391	1110377	4155135	3235389	63633
8	4594874	3067878	1526996	4530234	3547308	64640
9	5021434	3112680	1908754	4749555	3871016	271879
10	6037021	3115882	2921139	5974031	3997922	62990
11	5997376	3025259	2972117	5935608	4056685	61768
12	6004609	2840521	3164088	5939384	4042645	65225
13	4728495	2833734	1894761	4663944	3454553	64551
14	4945933	2874664	2071269	4885263	2996468	60670
15	5374066	3101353	2272713	5312182	3281421	61884
16	6163638	3115913	3047725	6101884	3240492	61754
17	4729126	2814761	1914365	4667453	3596691	61673
18	4962925	2880361	2082564	3887096	3009900	1075829
19	4091729	2856838	1234891	4026567	2919751	65162
20	4134049	2841160	1292889	4065159	2912164	68890
21	4349614	2844488	1505126	4286965	3139142	62649
22	3889680	2838760	1050920	3827731	2905632	61949
23	4894446	2827753	2066693	4833053	2895137	61393
24	3980771	2838566	1142205	3918974	2902938	61797
25	4699851	2826599	1873252	4637113	3667222	62738
26	4080188	2845544	1234644	4009045	2911786	71143
27	3996721	2837288	1159433	3933872	2899302	62849
28	3882467	2835431	1047036	3823595	2962137	58872
29	3847030	2840517	1006513	3778411	2911604	68619
30	4080849	2812170	1268679	3962770	2872464	118079
31	5127053	2852838	2274215	5058513	3896703	68540
32	5983490	2856871	3126619	5919345	3776856	64145
33	4841837	2830184	2011653	3764865	2899310	1076972
34	4153005	2815975	1337030	4092269	3222838	60736
35	4881742	2841323	2040419	4811531	2921271	70211
36	4123259	2835368	1287891	4060422	3188395	62837
37	3827523	2834728	992795	3768322	2907948	59201
38	4197338	2772612	1424726	4121722	3219039	75616
39	4973865	2919264	2054601	4910548	3676882	63317
40	4287136	2955772	1331364	4208467	3340158	78669
41	4956733	3232487	1724246	4877938	3402405	78795
42	4977001	2790948	2186053	4901237	2849888	75764
43	4799298	2795874	2003424	3889973	2867423	909325
44	5755642	3019909	2735733	5689650	3687803	65992
45	5227522	2785507	2442015	5164709	3194150	62813
46	3990359	2739841	1250518	3932148	3077546	58211
47	4006760	2778726	1228034	3946718	3084359	60042
48	4003223	2753699	1249524	3939324	2041091	63899
49	4000238	2764960	1235278	3937440	3070312	62798
50	3979990	2767461	1212529	3925607	3073899	54383
51	4013923	2772705	1241218	3952785	3097733	61138
52	4022380	2776320	1246060	3954242	2043997	68138
53	3880643	2758272	1122371	3796985	2830313	83658
54	4109353	2771906	1337447	4041653	2828767	67700
55	3994607	2762303	1232304	3929925	2054546	64682
56	3772019	2776708	995311	3707469	2847124	64550
57	5220949	2765820	2455129	5158631	3240101	62318
58	3829969	2743267	1086702	3762305	2805549	67664
59	5186273	2769503	2416770	5118441	3226530	67832
