request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	b4035b275d6d5221	d6d7207ca6424f06	d6d7207ca6424f06	yes	yes
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	2f3807aa3c6dd307	9d97a3492fd4f622	9d97a3492fd4f622	yes	yes
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	0deff41e41a6ea43	c17c13295c0642e7	c17c13295c0642e7	yes	yes
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	6e1ed8908ec0d7a5	ced7c2dc620c395a	ced7c2dc620c395a	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	beed13b645ce727f	2ff7057d93e7ce83	2ff7057d93e7ce83	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ad336c0a67b90bb5	af7f0cb53df316bb	af7f0cb53df316bb	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	3deb19c6cfa4bb3d	3af71ac8eb9e47c6	3af71ac8eb9e47c6	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	f5ba52502b945cd3	8a5a94f83c322d07	8a5a94f83c322d07	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	f4764623f3a8ec87	ed98091e663efe53	ed98091e663efe53	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	515b043547d97b5d	c36d3c170e29cdea	c36d3c170e29cdea	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	e4f6ad925e83f443	0f172cc5629980f3	0f172cc5629980f3	yes	yes
4	115	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	ae61c9b5c1b46b70	8ccf8891438bd1cb	8ccf8891438bd1cb	yes	yes
4	115	8	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	fcdea229616162ff	8e4f85d9c4e73459	8e4f85d9c4e73459	yes	yes
4	115	8	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ff0d761d3e486875	db95fac0fa14db6d	db95fac0fa14db6d	yes	yes
4	115	8	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	bd3995f2933a263a	1509cb1960750bd9	1509cb1960750bd9	yes	yes
4	115	8	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	71c64c6315bc5195	c6efb67ac2ea88a0	c6efb67ac2ea88a0	yes	yes
