utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:47:47Z	2835	10251	50	97.93	99	90	1421	12282	0x0000000000000000	16384	1433	14951	23068712	1536	174308	115124	791440	3.63
2026-09-01T05:47:48Z	2835	10251	49	83.71	49	6	4217	12282	0x0000000000000000	16384	4229	12155	22837044	1536	174308	121556	792568	3.63
2026-09-01T05:47:49Z	2835	10251	56	173.01	100	84	4431	12282	0x0000000000000000	16384	4443	11941	22719556	1536	174308	116356	792632	3.63
2026-09-01T05:47:50Z	2835	10251	57	191.23	100	89	4431	12282	0x0000000000000000	16384	4443	11941	22669956	1536	174308	116064	792636	3.66
2026-09-01T05:47:51Z	2835	10251	57	192.58	98	82	4431	12282	0x0000000000000000	16384	4443	11941	22699436	1536	174308	116500	792572	3.66
