level	arm	burst	width	prefill_passes	prefill_split	reply_tokens	distinct_replies	first_divergence	divergence_pass_width	history_full_width	decode_passes	full_width_passes	full_width_span_s
1	control	0	1	1	no	0	1	none	-	-	0	0	0
1	control	1	1	1	no	127	1	none	-	yes	127	127	0.698469
1	control	2	1	1	no	0	1	none	-	-	0	0	0
1	control	3	1	1	no	127	1	none	-	yes	127	127	0.543265
1	control	4	1	1	no	0	1	none	-	-	0	0	0
1	control	5	1	1	no	127	1	none	-	yes	127	127	0.543396
1	control	6	1	1	no	0	1	none	-	-	0	0	0
1	control	7	1	1	no	127	1	none	-	yes	127	127	0.540740
1	control	8	1	1	no	0	1	none	-	-	0	0	0
1	control	9	1	1	no	127	1	none	-	yes	127	127	0.540847
1	subject	0	1	1	no	0	1	none	-	-	0	0	0
1	subject	1	1	1	no	127	1	none	-	yes	127	127	0.543554
1	subject	2	1	1	no	0	1	none	-	-	0	0	0
1	subject	3	1	1	no	127	1	none	-	yes	127	127	0.543823
1	subject	4	1	1	no	0	1	none	-	-	0	0	0
1	subject	5	1	1	no	127	1	none	-	yes	127	127	0.543738
1	subject	6	1	1	no	0	1	none	-	-	0	0	0
1	subject	7	1	1	no	127	1	none	-	yes	127	127	0.539950
1	subject	8	1	1	no	0	1	none	-	-	0	0	0
1	subject	9	1	1	no	127	1	none	-	yes	127	127	0.541197
3	control	0	3	3	yes	0	1	none	-	-	0	0	0
3	control	1	3	1	no	127	1	none	-	yes	127	127	0.669082
3	control	2	3	3	yes	0	1	none	-	-	0	0	0
3	control	3	3	1	no	127	1	none	-	yes	127	127	0.666096
3	control	4	3	3	yes	0	1	none	-	-	0	0	0
3	control	5	3	1	no	127	1	none	-	yes	127	127	0.666730
3	control	6	3	3	yes	0	1	none	-	-	0	0	0
3	control	7	3	1	no	127	1	none	-	yes	127	127	0.666554
3	control	8	3	3	yes	0	1	none	-	-	0	0	0
3	control	9	3	1	no	127	1	none	-	yes	127	127	0.665365
3	subject	0	3	3	yes	0	1	none	-	-	0	0	0
3	subject	1	3	1	no	127	1	none	-	yes	127	127	0.667994
3	subject	2	3	3	yes	0	1	none	-	-	0	0	0
3	subject	3	3	1	no	127	1	none	-	yes	127	127	0.669401
3	subject	4	3	3	yes	0	1	none	-	-	0	0	0
3	subject	5	3	1	no	127	1	none	-	yes	127	127	0.668542
3	subject	6	3	3	yes	0	1	none	-	-	0	0	0
3	subject	7	3	1	no	127	1	none	-	yes	127	127	0.663700
3	subject	8	3	3	yes	0	1	none	-	-	0	0	0
3	subject	9	3	1	no	127	1	none	-	yes	127	127	0.667127
