level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	13.451	547.638	0.562124
1	subject	1	0	4	128	14.027	547.972	0.563056
1	control	2	0	4	128	13.254	547.488	0.561783
1	subject	2	0	4	128	13.078	548.091	0.562243
1	control	3	0	4	128	13.347	545.082	0.559483
1	subject	3	0	4	128	12.953	544.026	0.557975
1	control	4	0	4	128	12.853	545.174	0.559097
1	subject	4	0	4	128	12.822	545.541	0.559390
3	control	1	0	4	128	23.532	671.794	0.696809
3	control	1	1	4	128	18.583	671.643	0.696809
3	control	1	2	4	128	14.307	671.470	0.696809
3	subject	1	0	4	128	22.737	674.984	0.699662
3	subject	1	1	4	128	17.764	674.940	0.699662
3	subject	1	2	4	128	13.197	674.870	0.699662
3	control	2	0	4	128	22.597	672.137	0.696291
3	control	2	1	4	128	17.998	672.017	0.696291
3	control	2	2	4	128	13.534	671.880	0.696291
3	subject	2	0	4	128	24.009	674.058	0.699867
3	subject	2	1	4	128	18.845	673.912	0.699867
3	subject	2	2	4	128	13.805	673.893	0.699867
3	control	3	0	4	128	23.169	672.087	0.697133
3	control	3	1	4	128	17.982	671.925	0.697133
3	control	3	2	4	128	13.400	671.744	0.697133
3	subject	3	0	4	128	23.169	669.297	0.694156
3	subject	3	1	4	128	17.829	669.180	0.694156
3	subject	3	2	4	128	13.288	669.095	0.694156
3	control	4	0	4	128	23.372	671.146	0.696309
3	control	4	1	4	128	17.977	670.972	0.696309
3	control	4	2	4	128	13.515	670.853	0.696309
3	subject	4	0	4	128	22.216	672.531	0.696503
3	subject	4	1	4	128	17.386	672.419	0.696503
3	subject	4	2	4	128	13.009	672.266	0.696503
