level	arm	burst	width	prefill_passes	prefill_split	reply_tokens	distinct_replies	first_divergence	divergence_pass_width	history_full_width	decode_passes	full_width_passes	full_width_span_s
1	control	0	1	1	no	0	1	none	-	-	0	0	0
1	control	1	1	1	no	127	1	none	-	yes	127	127	0.547767
1	control	2	1	1	no	0	1	none	-	-	0	0	0
1	control	3	1	1	no	127	1	none	-	yes	127	127	0.542839
1	control	4	1	1	no	0	1	none	-	-	0	0	0
1	control	5	1	1	no	127	1	none	-	yes	127	127	0.543306
1	control	6	1	1	no	0	1	none	-	-	0	0	0
1	control	7	1	1	no	127	1	none	-	yes	127	127	0.542923
1	control	8	1	1	no	0	1	none	-	-	0	0	0
1	control	9	1	1	no	127	1	none	-	yes	127	127	0.545468
3	control	0	3	3	yes	0	1	none	-	-	0	0	0
3	control	1	3	1	no	127	1	none	-	yes	127	127	0.679725
3	control	2	3	3	yes	0	1	none	-	-	0	0	0
3	control	3	3	1	no	127	1	none	-	yes	127	127	0.677096
3	control	4	3	3	yes	0	1	none	-	-	0	0	0
3	control	5	3	1	no	127	1	none	-	yes	127	127	0.676322
3	control	6	3	3	yes	0	1	none	-	-	0	0	0
3	control	7	3	1	no	127	1	none	-	yes	127	127	0.676528
3	control	8	3	3	yes	0	1	none	-	-	0	0	0
3	control	9	3	1	no	127	1	none	-	yes	127	127	0.674765
4	control	0	4	4	yes	0	1	none	-	-	0	0	0
4	control	1	4	1	no	127	1	none	-	yes	127	127	0.739961
4	control	2	4	4	yes	0	1	none	-	-	0	0	0
4	control	3	4	1	no	127	1	none	-	yes	127	127	0.734135
4	control	4	4	4	yes	0	1	none	-	-	0	0	0
4	control	5	4	1	no	127	1	none	-	yes	127	127	0.745787
4	control	6	4	4	yes	0	1	none	-	-	0	0	0
4	control	7	4	1	no	127	1	none	-	yes	127	127	0.736835
4	control	8	4	4	yes	0	1	none	-	-	0	0	0
4	control	9	4	1	no	127	1	none	-	yes	127	127	0.738687
