start_ns	end_ns	kind	bytes	src_kind	dst_kind	stream	api	kernel_before	kernel_after	embedding_sized	row_multiple
555217446	555231110	Host-to-Device	280800	Pinned	Device	16	cudaMemcpyAsync_v3020	-	-	yes	no
555248582	555260518	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
557425682	557439442	Host-to-Device	280800	Pinned	Device	18	cudaMemcpyAsync_v3020	-	-	yes	no
557452210	557463890	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
559123995	559137243	Host-to-Device	280800	Pinned	Device	20	cudaMemcpyAsync_v3020	-	-	yes	no
559149595	559161275	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
568983728	569089297	Host-to-Device	2527200	Pinned	Device	22	cudaMemcpyAsync_v3020	-	-	yes	no
569126001	569273330	Device-to-Host	2527200	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
574095404	574108428	Host-to-Device	280800	Pinned	Device	24	cudaMemcpyAsync_v3020	-	-	yes	no
574120812	574132524	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
575891637	575904854	Host-to-Device	280800	Pinned	Device	26	cudaMemcpyAsync_v3020	-	-	yes	no
575917494	575929206	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
578378435	578391619	Host-to-Device	280800	Pinned	Device	28	cudaMemcpyAsync_v3020	-	-	yes	no
578403811	578415747	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
580906033	580919153	Host-to-Device	280800	Pinned	Device	30	cudaMemcpyAsync_v3020	-	-	yes	no
580931953	580943665	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
583252125	583271837	Host-to-Device	441600	Pinned	Device	32	cudaMemcpyAsync_v3020	-	-	yes	no
583285917	583303678	Device-to-Host	441600	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
585085927	585095783	Host-to-Device	192000	Pinned	Device	34	cudaMemcpyAsync_v3020	-	-	yes	no
585106791	585115111	Device-to-Host	192000	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
595307486	595385055	Host-to-Device	1843200	Pinned	Device	36	cudaMemcpyAsync_v3020	-	-	yes	no
595413727	595494239	Device-to-Host	1843200	Device	Pageable	7	cudaMemcpy_v3020	-	-	yes	no
