level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	19.046	575.868	0.597506
1	subject	1	0	4	128	15.715	551.724	0.568778
1	control	2	0	4	128	13.476	559.003	0.573963
1	subject	2	0	4	128	13.296	555.300	0.569907
1	control	3	0	4	128	14.541	579.315	0.595531
1	subject	3	0	4	128	12.818	545.042	0.558968
1	control	4	0	4	128	13.124	540.039	0.554339
1	subject	4	0	4	128	14.085	539.850	0.555136
3	control	1	0	4	128	21.584	665.289	0.688522
3	control	1	1	4	128	17.104	665.148	0.688522
3	control	1	2	4	128	12.992	664.970	0.688522
3	subject	1	0	4	128	22.383	667.870	0.691936
3	subject	1	1	4	128	17.723	667.771	0.691936
3	subject	1	2	4	128	13.237	667.640	0.691936
3	control	2	0	4	128	21.729	665.589	0.689124
3	control	2	1	4	128	16.997	665.481	0.689124
3	control	2	2	4	128	12.842	665.419	0.689124
3	subject	2	0	4	128	21.422	667.516	0.690635
3	subject	2	1	4	128	16.989	667.398	0.690635
3	subject	2	2	4	128	12.854	667.248	0.690635
3	control	3	0	4	128	21.789	668.526	0.692037
3	control	3	1	4	128	17.078	668.409	0.692037
3	control	3	2	4	128	12.897	668.331	0.692037
3	subject	3	0	4	128	22.210	665.202	0.689231
3	subject	3	1	4	128	17.197	665.170	0.689231
3	subject	3	2	4	128	12.936	665.071	0.689231
3	control	4	0	4	128	22.235	664.906	0.688818
3	control	4	1	4	128	17.248	664.799	0.688818
3	control	4	2	4	128	12.929	664.664	0.688818
3	subject	4	0	4	128	22.970	661.541	0.686104
3	subject	4	1	4	128	18.018	661.412	0.686104
3	subject	4	2	4	128	13.675	661.257	0.686104
