phase	pair	position	arm	closure	base	width	length	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256	content_sha256
warmup	0	0	control	build-appliance-current	128	0	128	128	21.648	128	516.142	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
warmup	0	0	subject	build-appliance-current	128	0	128	128	27.941	128	494.991	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
warmup	0	0	control	build-appliance-current	512	0	512	512	30.937	128	517.649	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
warmup	0	0	subject	build-appliance-current	512	0	512	512	37.857	128	496.571	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
warmup	0	0	control	build-appliance-current	2048	0	2048	2048	116.442	128	519.191	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
warmup	0	0	subject	build-appliance-current	2048	0	2048	2048	122.937	128	498.086	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	1	1	control	build-appliance-current	128	0	128	128	13.572	128	516.345	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	1	2	subject	build-appliance-current	128	0	128	128	20.67	128	495.04	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	1	1	control	build-appliance-current	512	0	512	512	30.734	128	517.775	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	1	2	subject	build-appliance-current	512	0	512	512	37.727	128	495.733	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	1	1	control	build-appliance-current	2048	0	2048	2048	116.1	128	519.177	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	1	2	subject	build-appliance-current	2048	0	2048	2048	122.315	128	498.91	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	2	1	subject	build-appliance-current	128	0	128	128	20.118	128	494.837	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	2	2	control	build-appliance-current	128	0	128	128	13.264	128	516.62	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	2	1	subject	build-appliance-current	512	0	512	512	37.713	128	496.024	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	2	2	control	build-appliance-current	512	0	512	512	31.031	128	517.723	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	2	1	subject	build-appliance-current	2048	0	2048	2048	121.969	128	497.998	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	2	2	control	build-appliance-current	2048	0	2048	2048	116.095	128	519.541	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	3	1	control	build-appliance-current	128	0	128	128	13.142	128	516.352	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	3	2	subject	build-appliance-current	128	0	128	128	19.825	128	494.643	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	3	1	control	build-appliance-current	512	0	512	512	30.722	128	517.434	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	3	2	subject	build-appliance-current	512	0	512	512	37.689	128	496.951	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	3	1	control	build-appliance-current	2048	0	2048	2048	116.568	128	519.335	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	3	2	subject	build-appliance-current	2048	0	2048	2048	122.992	128	498.601	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	4	1	subject	build-appliance-current	128	0	128	128	20.906	128	494.789	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	4	2	control	build-appliance-current	128	0	128	128	13.329	128	516.271	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	4	1	subject	build-appliance-current	512	0	512	512	38.536	128	495.887	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	4	2	control	build-appliance-current	512	0	512	512	30.753	128	516.808	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	4	1	subject	build-appliance-current	2048	0	2048	2048	124.581	128	498.288	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	4	2	control	build-appliance-current	2048	0	2048	2048	116.338	128	520.398	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	5	1	control	build-appliance-current	128	0	128	128	13.045	128	516.394	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	5	2	subject	build-appliance-current	128	0	128	128	20.822	128	495.124	5ee9d1ba2315b851270029d0da5e48af26fada301bb218baee87855cff2e2184	2bc49efcf023565264fcbc2ae79972191641bcd1eb20f5675b4b192b4a1c87a1
paired	5	1	control	build-appliance-current	512	0	512	512	30.75	128	518.511	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	5	2	subject	build-appliance-current	512	0	512	512	38.289	128	496.305	a457b6ce3a82b7db17d161a45d26d7a9c83eebf57ad9b91bf52468906966d10d	67d70e2f876f74a9e599de195f4529ff075673bc2f23f5ffb0b83ccd7ccef04f
paired	5	1	control	build-appliance-current	2048	0	2048	2048	116.057	128	519.156	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
paired	5	2	subject	build-appliance-current	2048	0	2048	2048	122.402	128	499.479	0ef5196f22ad1fdc0335b2bd8851d20fd6a30966bfdf754aed83067b964ae353	3065176e99f1e3d8bbc4d612748b6d1bd5d5e21b72313e4061fd25053266fa1a
