level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	11.850	413.737	0.426691
1	subject	1	0	4	128	12.909	415.563	0.429656
1	control	2	0	4	128	11.124	412.879	0.425179
1	subject	2	0	4	128	13.313	413.460	0.427919
1	control	3	0	4	128	11.285	411.877	0.424447
1	subject	3	0	4	128	11.790	413.163	0.426125
1	control	4	0	4	128	10.943	413.252	0.425317
1	subject	4	0	4	128	11.492	416.475	0.429256
3	control	1	0	4	128	20.350	537.026	0.558988
3	control	1	1	4	128	15.390	536.900	0.558988
3	control	1	2	4	128	11.166	536.724	0.558988
3	subject	1	0	4	128	21.386	536.715	0.559633
3	subject	1	1	4	128	16.009	536.482	0.559633
3	subject	1	2	4	128	11.538	536.248	0.559633
3	control	2	0	4	128	21.438	536.661	0.559854
3	control	2	1	4	128	16.378	536.531	0.559854
3	control	2	2	4	128	11.662	536.397	0.559854
3	subject	2	0	4	128	21.901	535.757	0.559314
3	subject	2	1	4	128	16.412	535.625	0.559314
3	subject	2	2	4	128	11.639	535.509	0.559314
3	control	3	0	4	128	22.350	535.240	0.559177
3	control	3	1	4	128	17.477	535.130	0.559177
3	control	3	2	4	128	11.502	534.930	0.559177
3	subject	3	0	4	128	20.505	538.723	0.560813
3	subject	3	1	4	128	15.844	538.620	0.560813
3	subject	3	2	4	128	11.440	538.436	0.560813
3	control	4	0	4	128	23.521	550.209	0.575622
3	control	4	1	4	128	16.614	550.057	0.575622
3	control	4	2	4	128	11.522	549.893	0.575622
3	subject	4	0	4	128	21.418	537.609	0.565231
3	subject	4	1	4	128	15.967	537.534	0.565231
3	subject	4	2	4	128	11.241	537.443	0.565231
