utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:43:10Z	2835	10251	48	62.70	58	14	1419	12282	0x0000000000000000	16384	1431	14953	22691420	1536	174308	113736	790276	3.12
2026-09-01T05:43:11Z	2835	10251	53	76.33	48	5	2581	12282	0x0000000000000000	16384	2593	13791	22419152	1536	174308	114800	791468	3.19
2026-09-01T05:43:12Z	2835	10251	53	158.33	99	72	2581	12282	0x0000000000000000	16384	2593	13791	22349596	1536	174308	114956	791532	3.19
