utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:42:25Z	2835	10251	50	154.71	99	69	1419	12282	0x0000000000000000	16384	1431	14953	22640428	1536	174308	114104	790340	2.91
2026-09-01T05:42:26Z	2835	10251	53	75.96	52	5	2581	12282	0x0000000000000000	16384	2593	13791	22402140	1536	174308	114868	791476	2.91
2026-09-01T05:42:27Z	2835	10251	54	139.43	99	69	2581	12282	0x0000000000000000	16384	2593	13791	22382744	1536	174308	114916	791476	2.91
