utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-01T05:42:39Z	2835	10251	49	154.14	99	73	1419	12282	0x0000000000000000	16384	1431	14953	22509372	1536	174308	114224	790384	3.00
2026-09-01T05:42:40Z	2835	10251	53	92.25	51	6	2581	12282	0x0000000000000000	16384	2593	13791	22298696	1536	174308	115856	791516	3.00
2026-09-01T05:42:41Z	2835	10251	54	156.43	99	74	2581	12282	0x0000000000000000	16384	2593	13791	22301696	1536	174308	115524	791588	3.08
