graph_index	t_ns	mode	n_nodes	op	path	detail	src0_name	dst_name	src0_type	src1_type	dst_type	ne00	ne01	ne02	ne03	ne10	ne11	ne12	ne13	nb01	nb02	nb03	nb11	nb12	nb13	src0_contiguous	src1_contiguous	src0_transposed	batch_count	launches
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.0.ffn_down.weight	node_42	q6_K	f32	f32	8192	2048	1	1	8192	2	1	1	6720	13762560	13762560	32768	65536	65536	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.0.ffn_gate.weight	ffn_gate-0	q4_K	f32	f32	2048	8192	1	1	2048	2	1	1	1152	9437184	9437184	8192	16384	16384	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.0.ffn_up.weight	ffn_up-0	q4_K	f32	f32	2048	8192	1	1	2048	2	1	1	1152	9437184	9437184	8192	16384	16384	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.0.shortconv.in_proj.weight	model.layers.{}.conv.in_proj-0	q4_K	f32	f32	2048	6144	1	1	2048	2	1	1	1152	7077888	7077888	8192	16384	16384	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.0.shortconv.out_proj.weight	model.layers.{}.conv.out_proj-0	q4_K	f32	f32	2048	2048	1	1	2048	2	1	1	1152	2359296	2359296	8192	16384	16384	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.1.ffn_down.weight	node_67	q6_K	f32	f32	8192	2048	1	1	8192	2	1	1	6720	13762560	13762560	32768	65536	65536	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.1.ffn_gate.weight	ffn_gate-1	q4_K	f32	f32	2048	8192	1	1	2048	2	1	1	1152	9437184	9437184	8192	16384	16384	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.1.ffn_up.weight	ffn_up-1	q4_K	f32	f32	2048	8192	1	1	2048	2	1	1	1152	9437184	9437184	8192	16384	16384	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.1.shortconv.in_proj.weight	model.layers.{}.conv.in_proj-1	q4_K	f32	f32	2048	6144	1	1	2048	2	1	1	1152	7077888	7077888	8192	16384	16384	1	1	0	1	1
0	1788291892220650134	eager	620	MUL_MAT	MMVQ	-	blk.1.shortconv.out_proj.weight	model.layers.{}.conv.out_proj-1	q4_K	f32	f32	2048	2048	1	1	2048	2	1	1	1152	2359296	2359296	8192	16384	16384	1	1	0	1	1
