arm	request	label	phase	graph_index	mode	op	path	detail	src0_name	dst_name	src0_type	src1_type	dst_type	ne00	ne01	ne02	ne03	ne10	ne11	ne12	ne13	nb01	nb02	nb03	nb11	nb12	nb13	src0_contiguous	src1_contiguous	src0_transposed	batch_count	launches
V1-lfm25-vl-16b	r2	cold-image	llm_prefill_from_image_embeddings	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	 (reshaped)	node_3	f16	f32	f32	768	352	1	1	768	1152	1	1	1536	540672	540672	3072	3538944	3538944	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.0.ffn_down.weight	ffn_down-0	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.1.ffn_down.weight	ffn_down-1	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.10.ffn_down.weight	ffn_down-10	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.11.ffn_down.weight	ffn_down-11	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.12.ffn_down.weight	ffn_down-12	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.13.ffn_down.weight	ffn_down-13	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.14.ffn_down.weight	ffn_down-14	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.15.ffn_down.weight	ffn_down-15	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.16.ffn_down.weight	ffn_down-16	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.17.ffn_down.weight	ffn_down-17	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.18.ffn_down.weight	ffn_down-18	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.19.ffn_down.weight	ffn_down-19	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.2.ffn_down.weight	ffn_down-2	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.20.ffn_down.weight	ffn_down-20	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.21.ffn_down.weight	ffn_down-21	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.22.ffn_down.weight	ffn_down-22	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.23.ffn_down.weight	ffn_down-23	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.24.ffn_down.weight	ffn_down-24	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.25.ffn_down.weight	ffn_down-25	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.26.ffn_down.weight	ffn_down-26	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.3.ffn_down.weight	ffn_down-3	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.4.ffn_down.weight	ffn_down-4	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.5.ffn_down.weight	ffn_down-5	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.6.ffn_down.weight	ffn_down-6	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.7.ffn_down.weight	ffn_down-7	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.8.ffn_down.weight	ffn_down-8	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r2	cold-image	vision_encoder	34	eager	MUL_MAT	cuBLAS	cublasGemmEx/F16	v.blk.9.ffn_down.weight	ffn_down-9	f16	f32	f32	4304	1152	1	1	4304	352	1	1	8608	9916416	9916416	17216	6060032	6060032	1	1	0	1	1
V1-lfm25-vl-16b	r3	warm-image	llm_prefill_from_image_embeddings	60	capture	MUL_MAT	cuBLAS	cublasGemmEx/F16	 (reshaped)	node_3	f16	f32	f32	768	352	1	1	768	1152	1	1	1536	540672	540672	3072	3538944	3538944	1	1	0	1	1
